cloudnum,x,corr_x,y,nn_index,nn2_index,nn3_index,min_dist,min_dist2nd,min_dist3rd,mean_cloud_sep_nn,mean_cloud_sep_nn2,mean_cloud_sep_nn3,beam_sep_nn,beam_sep_nn2,beam_sep_nn3
1,169.5601309922227,142.49360872330826,-32.82056331208871,9.0,165.0,209.0,80.420499231491,160.47278706571743,226.8620298423479,0.9929452999939677,1.9813443241029072,2.801046852875577,0.6701708269290921,1.3372732255476463,1.890516915352901
2,169.57824197763404,142.5170683256308,-32.81542662066448,220.0,191.0,170.0,49.065701613682855,124.80693658058512,179.00661626761087,0.6058101886183674,1.5409809969919979,2.2101799912869375,0.4088808467806908,1.04005780483821,1.4917218022300918
3,169.54964308138264,142.47954348504862,-32.823837336388216,4.0,168.0,164.0,84.22931084764109,339.26624076887816,364.8567218133826,1.039972384244369,4.188892414711186,4.504855982713702,0.701910923730343,2.827218673073987,3.0404726817781906
4,169.55066479377388,142.48021727410915,-32.82395254206158,3.0,164.0,168.0,84.22931084764109,322.373824752851,341.35235804777176,1.039972384244369,3.980323141342526,4.214649533444695,0.701910923730343,2.686448539607094,2.8446029837314337
5,169.5597107322161,142.4911453897549,-32.82187884035568,209.0,176.0,165.0,237.73830608158642,253.6683522790456,270.7317532067654,2.9353353424570874,3.1320223147043325,3.3427027247366237,1.9811525506798884,2.113902935658715,2.2560979433897135
6,169.5707806293436,142.50622727867156,-32.81827606330366,229.0,238.0,207.0,99.71188875581214,234.75528857121722,263.22005351558425,1.2311345022692346,2.898504270217723,3.249956385499727,0.8309324062984352,1.9562940714268118,2.193500445963204
7,169.58936756015825,142.5318148453611,-32.8120623025012,150.0,154.0,12.0,108.51363931908342,201.29604640388476,251.02199802682716,1.3398089936866817,2.4853857548031453,3.0993479960670465,0.9042803276590293,1.6774670533657077,2.091849983556895
8,169.5575346257717,142.48872605938544,-32.82224704358147,152.0,5.0,197.0,268.4691831934957,301.5432022564241,350.21478517466835,3.314766958581821,3.723129155960296,4.324073193410551,2.237243193279133,2.512860018803536,2.9184565431222387
9,169.5613059365902,142.49355304347876,-32.82121358920377,1.0,209.0,165.0,80.420499231491,149.8726009880934,199.50535960394393,0.9929452999939677,1.8504646970747187,2.4632762919329343,0.6701708269290921,1.2489383415674462,1.6625446633662009
10,169.56331938382883,142.4964851522779,-32.82044050139017,193.0,213.0,177.0,171.77548851879905,181.95017608470877,250.025955784397,2.1208978507823053,2.246523882627691,3.087049944293337,1.4314624043233266,1.5162514673725744,2.0835496315366435
11,169.57653352236198,142.5143029203227,-32.81625555668611,228.0,153.0,198.0,192.83960076792243,208.94009144220885,225.37710417445703,2.3809747149672313,2.579766151173204,2.7827125975941165,1.6069966730660217,1.7411674286850751,1.8781425347871434
12,169.58784683446717,142.52982638938462,-32.81250519206492,154.0,7.0,150.0,145.88020976238113,251.02199802682716,291.00472261397806,1.80117097046035,3.0993479960670465,3.5930114132200055,1.2156684146865104,2.091849983556895,2.425039355116486
13,169.556656279272,142.5382821986772,-32.79087927372709,36.0,27.0,30.0,298.1420616396597,335.64768010169206,438.78011735479026,3.681135552061946,4.1442143433045056,5.417582076979143,2.4845171803304993,2.797064000847436,3.6565009779565885
14,169.55980257762158,142.5480744273602,-32.78641954042996,15.0,16.0,28.0,262.1397021157033,280.047610180309,333.64268661397176,3.2366173754823206,3.4577248457840146,4.119458853358842,2.1844975176308625,2.3337300848359104,2.7803557217831005
15,169.55508071103893,142.5472420540242,-32.78446173084967,14.0,31.0,16.0,262.1397021157033,376.3801663911584,453.72555153554737,3.2366173754823206,4.647135006626586,5.602112125511109,2.1844975176308625,3.136501386592989,3.7810462627962313
16,169.56254688040605,142.55034706575972,-32.786441058042826,42.0,14.0,38.0,270.4175597747191,280.047610180309,297.49559783133554,3.338823404232267,3.4577248457840146,3.673153716507258,2.2534796647893276,2.3337300848359104,2.479129981927798
17,169.55671313701046,142.5598819027889,-32.777429519525384,23.0,26.0,22.0,343.29134170993615,449.613647555583,452.96399924304376,4.238590005494853,5.551342784734207,5.59270930189316,2.860761180916137,3.746780396296528,3.7746999936920345
18,169.55465127498218,142.5516993177887,-32.781454674764525,21.0,31.0,19.0,365.2500840677898,466.55876697113985,614.0883190116507,4.509712794166517,5.760562782648933,7.5820980467757035,3.043750700564918,3.887989724759502,5.117402658430427
19,169.55540320099263,142.5560947790209,-32.77910588159372,22.0,21.0,29.0,321.6987153487923,397.1010223777898,404.6597349752284,3.971987620969639,4.90297371392624,4.996300517656065,2.6808226279066045,3.309175186481584,3.372164458126906
20,169.56712584179996,142.5564378308486,-32.78504251833864,21.0,82.0,38.0,439.954189754762,463.09231459752834,519.430024700308,5.432078252488435,5.717762779852101,6.41335986011833,3.6662849146230196,3.859102621646073,4.328583539169236
