cloudnum,x,corr_x,y,nearest_neighbor,nearest_neighbor_corr,min_distance,min_distance_corr,true_dist,true_dist_corr,nearest_neighbor2,nearest_neighbor2_corr,min_distance2,min_distance_corr2,true_dist2_corr,nearest_neighbor3,nearest_neighbor3_corr,min_distance3,min_distance_corr3,true_dist3_corr
1,169.56130641909408,-166.75495428872694,-32.82136305087194,17.0,17.0,49.33767645128431,74.35867473393854,6079400.540198778,9162494.058517903,21.0,21.0,68.82091100901,104.57033808828616,12885182.594490567,3.0,8.0,118.73832731871255,132.15674721651888,16284386.663654974
2,169.58185624398243,-166.78617331246593,-32.814923240945724,29.0,29.0,40.028050709205885,45.301543566015845,4932266.182922682,5582067.260484175,25.0,25.0,42.812262845798486,51.04291006733645,6289519.842773325,460.0,460.0,50.84788141671082,76.65272877981627,9445167.958240865
3,169.56041889949367,-166.75360555749143,-32.82173839808824,21.0,11.0,60.404879718719705,74.04765023080597,7443104.029335931,9124169.543292178,11.0,21.0,60.42342220847985,76.17352594084149,9386120.467404837,1.0,1.0,118.73832731871255,172.506646632929,21256311.122872278
4,169.59071543615616,-166.79962628504683,-32.81168959832987,376.0,376.0,136.81831100367603,205.60635954851926,16858785.691825595,25334865.831020188,19.0,430.0,225.06610004801172,274.7268223119043,33851906.13139643,410.0,410.0,243.58863636862634,335.26227908850416,41311099.897690244
5,169.55433003906813,-166.7443515934209,-32.823429926420836,434.0,434.0,97.18760643252745,99.97984210946137,11975480.597063126,12319540.559016857,436.0,404.0,150.0529869474113,153.3167051285764,18891721.84467356,404.0,436.0,151.6334222095891,223.60771841161912,27552997.66592123
6,169.57609619155414,-166.7774246113754,-32.81670502353207,539.0,24.0,76.43327224015042,86.9226224013056,9418126.469833681,10710626.758107819,24.0,539.0,84.46311408884971,115.83881356724059,14273686.894680183,449.0,481.0,123.76645924853422,152.91730543995985,18842507.717511974
7,169.57800481411132,-166.78032370133252,-32.81556565159163,540.0,540.0,16.724978097085895,25.378923393740806,2060855.8852306865,3127197.137909703,14.0,14.0,93.36504672306194,108.36235624673492,13352435.997955555,28.0,28.0,102.19519581403605,141.83188190340908,17476559.12236518
8,169.561025395098,-166.7545272305778,-32.82037921631965,1.0,1.0,126.07694709556576,132.15674721651888,15535232.208111882,16284386.663654974,21.0,21.0,127.38311795779504,133.2512707141136,16419254.1163026,17.0,17.0,140.22672387041155,169.5206856619191,20888380.282876313
9,169.5813360649582,-166.78538329508433,-32.81495726794376,460.0,460.0,14.482857408622776,21.51190200252281,1784581.2264900694,2650701.8177876924,16.0,16.0,63.88444955678594,75.14125387861587,9258923.651824702,2.0,2.0,64.233574431888,97.43638762951034,12006135.476905765
10,169.56961601371623,-166.767580377777,-32.81869446416038,560.0,560.0,98.91628972396461,107.08820634375006,12188489.374364842,13195434.935772402,530.0,600.0,183.16360432097855,216.93945349350096,26731332.434373002,600.0,530.0,216.31250576403568,277.94383672702475,34248307.433197126
11,169.56011534089478,-166.75314424249714,-32.82135328225362,3.0,3.0,60.42342220847985,74.04765023080597,7445388.839452107,9124169.543292178,21.0,21.0,78.00636909787981,118.50502382470452,14602217.973672409,1.0,8.0,146.769882519657,208.43754090860315,25683724.689561885
12,169.5508425387505,-166.73905048262574,-32.82401107268087,435.0,435.0,120.40030653297067,181.2764819812417,14835755.171798054,22336932.376016002,476.0,476.0,169.41417220645164,191.3534511129529,23578618.973141856,433.0,433.0,179.72792821705272,265.0217959294453,32656050.410658922
13,169.56268984140297,-166.7570565554017,-32.82066956956646,489.0,478.0,116.61506360508652,141.36813305406355,14369336.613897698,17419415.87590501,478.0,489.0,138.76191202202173,151.04784621115732,18612152.494831726,17.0,17.0,144.1714637941419,200.5549918676921,24712435.071884513
14,169.578395262455,-166.78091675036455,-32.81621501475034,575.0,575.0,39.01594855460393,53.483397858873325,4807554.708285264,6590237.344394372,22.0,22.0,69.26782167735668,100.37277053764893,12367957.295888152,7.0,7.0,93.36504672306194,108.36235624673492,13352435.997955555
