cloudnum,x,corr_x,y,nn_index,nn2_index,nn3_index,min_dist,min_dist2nd,min_dist3rd,mean_cloud_sep_nn,mean_cloud_sep_nn2,mean_cloud_sep_nn3,beam_sep_nn,beam_sep_nn2,beam_sep_nn3,RGAL_KPC_nn,RGAL_KPC_nn2,RGAL_KPC_nn3,MLUM_MSUN_nn,MLUM_MSUN_nn2,MLUM_MSUN_nn3,SIGV_KMS_nn,SIGV_KMS_nn2,SIGV_KMS_nn3,RAD_PC_nn,RAD_PC_nn2,RAD_PC_nn3,RAD_NODC_nn,RAD_NODC_nn2,RAD_NODC_nn3
1,55.50169377025982,-0.0008462156710890027,-47.22559465691311,17.0,2.0,7.0,252.45301427065147,313.7144498803959,371.236085381836,2.162536791038613,2.6873081381372264,3.1800439979642645,1.6830200951376764,2.0914296658693057,2.4749072358789057,0.8328002204980518,1.2909283713692348,0.6552174658657995,9944903.962418783,4833223.418115378,8697145.827229403,13.916768339869392,24.084189507665005,11.615775455436484,158.62696234470928,93.85765134277014,72.28075750346588,288.07606389482834,195.30484827838032,188.17440605583147
2,55.49951208713623,-0.0023278221669861625,-47.22568354330711,1.0,15.0,17.0,313.7144498803959,371.71493119666815,439.9146154728225,2.6873081381372264,3.184145837250284,3.7683508894675866,2.0914296658693057,2.478099541311121,2.9327641031521496,1.024715720658866,1.6061452850788775,0.8328002204980518,8835167.063261747,2256580.315510527,9944903.962418783,26.977789604094657,16.080724121656452,13.916768339869392,108.29393331969878,115.20254012204055,158.62696234470928,218.06756171176147,239.85331336082024,288.07606389482834
3,55.49564865293809,-0.004950292056664639,-47.23891332366992,4.0,8.0,10.0,1382.4764009111539,1793.443122975774,2106.925553713212,11.842425761285813,15.36280621277246,18.048126852624826,9.216509339407693,11.956287486505161,14.04617035808808,4.69200349903738,4.609209560080495,4.56527210547309,1366363.3891432576,1721211.7141031933,270873.51650048036,3.1388884985803425,4.098255370963715,,103.433795502307,84.40265055507336,45.41472710939992,309.5553011858195,202.21534155256438,166.60619441173156
4,55.48601499789389,-0.011490982184390531,-47.23896325365457,6.0,9.0,3.0,1009.0669060853533,1292.3807263864642,1382.4764009111539,8.643764129073277,11.070657551522226,11.842425761285813,6.727112707235688,8.615871509243094,9.216509339407693,4.776167182724905,4.4810964912285565,3.8955018511878534,2453572.480030645,1131450.0288946116,2467305.2738683447,2.8206859794436894,1.958190690931541,2.227658682716632,115.72587174737669,84.24560714337643,170.51031663110496,262.13690078159556,184.21018981470786,304.4246061425173
5,55.503417196174915,0.0003242044445708096,-47.22259246701082,37.0,45.0,18.0,241.2684994479143,291.74017040404584,314.17001557928364,2.066729161789412,2.4990743475387682,2.6912105577119187,1.6084566629860957,1.9449344693603057,2.0944667705285576,0.7234470674890808,0.7442353706066664,0.42519891641016544,3933758.316982984,5243008.434055899,17125934.813108828,10.543235994326674,33.87682944726048,18.211295007499828,117.35114066329146,162.7306186282136,109.9230008308338,233.6664841051272,291.3160498771959,216.57933962634976
6,55.481191081062384,-0.01476711059493226,-47.23549053955009,9.0,4.0,14.0,418.69532786114496,1009.0669060853533,1716.1494822795896,3.586584431766721,8.643764129073277,14.700701455569527,2.7913021857409666,6.727112707235688,11.440996548530595,4.4810964912285565,4.69200349903738,5.6237652357618835,1131450.0288946116,1366363.3891432576,2772542.983748643,1.958190690931541,3.1388884985803425,4.126361769797785,84.24560714337643,103.433795502307,172.71954795187457,184.21018981470786,309.5553011858195,327.9361068460157
7,55.50375364715957,0.0005526855542401853,-47.22453254062198,16.0,17.0,13.0,259.0912441707066,261.81878482435667,318.99818672927717,2.219400506560946,2.242764882025476,2.7325691359624384,1.727274961138044,1.7454585654957115,2.126654578195181,0.47501985517326367,0.8328002204980518,0.698044146504527,8431423.418107368,9944903.962418783,29946951.25512099,12.274921699736982,13.916768339869392,19.257880548935894,64.79160848527066,158.62696234470928,113.63960750167645,167.40841885621373,288.07606389482834,242.51659341750522
8,55.50627216826229,0.002262276563726896,-47.2433830896539,10.0,11.0,3.0,420.6432360321493,1518.2237909033456,1793.443122975774,3.6032704004311538,13.005250954693327,15.36280621277246,2.8042882402143294,10.121491939355638,11.956287486505161,4.56527210547309,3.954625777884671,3.8955018511878534,270873.51650048036,1417510.0837957761,2467305.2738683447,,3.18944998029392,2.227658682716632,45.41472710939992,121.35610692224773,170.51031663110496,166.60619441173156,267.80793055883873,304.4246061425173
9,55.48181451085173,-0.014344333927699796,-47.23355521558312,6.0,4.0,14.0,418.69532786114496,1292.3807263864642,1558.4132615633043,3.586584431766721,11.070657551522226,13.349517824176425,2.7913021857409666,8.615871509243094,10.389421743755364,4.776167182724905,4.69200349903738,5.6237652357618835,2453572.480030645,1366363.3891432576,2772542.983748643,2.8206859794436894,3.1388884985803425,4.126361769797785,115.72587174737669,103.433795502307,172.71954795187457,262.13690078159556,309.5553011858195,327.9361068460157
10,55.50911235979493,0.004190480522362204,-47.242890294657364,8.0,11.0,12.0,420.6432360321493,1152.8951535474484,1588.1612027913802,3.6032704004311538,9.875810724460457,13.60434154869888,2.8042882402143294,7.685967690316322,10.587741351942537,4.609209560080495,3.954625777884671,4.058645077522663,1721211.7141031933,1417510.0837957761,996403.6651307235,4.098255370963715,3.18944998029392,4.2526972741930615,84.40265055507336,121.35610692224773,93.8541102351857,202.21534155256438,267.80793055883873,195.38249074734233
