cloudnum,x,corr_x,y,nn_index,nn2_index,nn3_index,min_dist,min_dist2nd,min_dist3rd,mean_cloud_sep_nn,mean_cloud_sep_nn2,mean_cloud_sep_nn3,beam_sep_nn,beam_sep_nn2,beam_sep_nn3,MLUM_MSUN_nn,MLUM_MSUN_nn2,MLUM_MSUN_nn3,SIGV_KMS_nn,SIGV_KMS_nn2,SIGV_KMS_nn3,RAD_PC_nn,RAD_PC_nn2,RAD_PC_nn3,RAD_NODC_NOEX_nn,RAD_NODC_NOEX_nn2,RAD_NODC_NOEX_nn3,RAD_NODC_nn,RAD_NODC_nn2,RAD_NODC_nn3
1,55.503659751592295,0.0005598867557724382,-47.22551419614714,26.0,38.0,10.0,43.12036085539764,48.85687047205931,50.73885752822864,1.0412057408620674,1.179722363332098,1.2251657614910985,0.6533388008393588,0.7402556132130208,0.7687705686095259,1097422.0642994216,449436.82930224796,811443.7862835944,3.9172885236181356,2.8362969629565375,4.330187062136056,44.92496976231296,30.61543655686757,50.09447794924414,76.32479375965241,65.00439529705042,79.52210513526042,92.2199428919675,78.63302086579115,97.578495981941
2,55.50363791386345,0.0005450702303585555,-47.22417275828389,13.0,7.0,42.0,55.81841975819589,100.29147667931628,172.80706804015603,1.3478194046886596,2.4216880194537347,4.172685657903759,0.8457336326999387,1.519567828474491,2.618288909699337,1943595.2792364843,918876.2901360688,1338808.5462521226,5.104402611424204,3.505646647268735,6.738721341353607,74.14904233341028,31.04848913806848,50.13184041189868,105.5167643054652,83.45752532388683,75.77635324330977,131.68840295942417,96.22239732784585,97.60499553689395
3,55.50052963796346,-0.0015658180773730507,-47.22553875050552,23.0,66.0,12.0,6.653950715263813,23.61755348264229,24.546747232237426,0.1606696128397243,0.5702812263957642,0.5927180021383424,0.10081743507975484,0.3578417194339745,0.3719204126096584,300300.94516991434,747531.6030474114,616734.1679318784,3.333751051629605,4.352938472285708,5.823936458390087,,25.02198064320445,,56.09545160715541,59.54850645019614,43.554485418520926,69.39901469514132,72.51890381280062,61.21817538313001
4,55.50314012117213,0.00020699898055634628,-47.225314748144356,10.0,50.0,38.0,35.88829325965483,42.02568645286442,50.117883422143784,0.8665766294721671,1.014773186734922,1.2101714109950423,0.5437620190856799,0.6367528250434011,0.7593618700324825,811443.7862835944,436500.81345163414,449436.82930224796,4.330187062136056,3.373308342389528,2.8362969629565375,50.09447794924414,21.820727239552784,30.61543655686757,79.52210513526042,46.89490903677552,65.00439529705042,97.578495981941,67.94068985641121,78.63302086579115
5,55.49540462461961,-0.005044999993766304,-47.2390603946325,6.0,55.0,96.0,1340.68934209728,2912.6232333664043,2913.323051210924,32.37295356561328,70.32965335608326,70.34655150681338,20.313474880261843,44.13065505100619,44.141258351680726,719356.3183674566,426838.2355377427,269514.2908860856,4.284770236367669,3.5807839022306513,,,24.12277136102841,,48.14602929118431,54.47310106908957,28.87720884139039,57.365885425825084,85.75874561967099,30.808618247217495
6,55.48612694317475,-0.011344157458962712,-47.238314420178824,5.0,55.0,81.0,1340.68934209728,2930.162163681625,2945.499462236812,32.37295356561328,70.75315711557235,71.12349917645004,20.313474880261843,44.39639641941862,44.628779730860856,1000171.924911237,426838.2355377427,215075.91949985505,1.5490651192224316,3.5807839022306513,,44.63420437686715,24.12277136102841,,63.79561845284602,54.47310106908957,46.899451731126355,90.87828572340506,85.75874561967099,60.26620422618835
7,55.50432977651351,0.0010149373466756917,-47.22410656397634,13.0,2.0,24.0,54.514619382741785,100.29147667931628,138.2507640691793,1.3163371905111545,2.4216880194537347,3.338271906167918,0.8259790815566947,1.519567828474491,2.09470854650272,1943595.2792364843,191562.76521240253,3266267.1399990837,5.104402611424204,4.326948791137375,6.990599023052498,74.14904233341028,42.591261565467704,37.03826368078272,105.5167643054652,83.55693148037247,72.4475080533331,131.68840295942417,95.21881680708341,81.37668822463975
8,55.50329446884695,0.000311833690223696,-47.222837626810474,14.0,25.0,20.0,17.97562294452794,66.35433028340003,138.60120701969805,0.4340483575306528,1.6022247553497837,3.3467338764456804,0.2723579234019389,1.0053686406575777,2.100018288177246,1776891.164841779,522528.7139020479,622695.0474401073,4.83421591373287,3.536050655415918,3.8264464334556703,56.26268155918165,9.882349533558056,26.185098036821426,81.12443241752416,46.958862812381184,65.95298211246697,107.08959619894199,58.93353018209725,69.65744185447296
9,55.50463659633142,0.0012232744254163561,-47.225590418142026,48.0,28.0,40.0,66.5969193110925,69.31644760862076,69.3902222922588,1.6080824310114177,1.6737495177345294,1.6755309180431168,1.0090442319862514,1.050249206191225,1.0513670044281649,1174706.7776541174,954854.9076406218,804163.6519719012,2.2449078959393853,,,52.09788141644883,38.88735584392215,61.801234490353686,76.19423407639809,77.2950938794854,86.40765004459006,101.87595053249522,89.83701163504603,116.66642842248721
10,55.50333277545378,0.0003378330996175148,-47.225422977651824,38.0,4.0,26.0,20.220655637255163,35.88829325965483,41.214949874645036,0.488258036710506,0.8665766294721671,0.995196736936654,0.30637357026144224,0.5437620190856799,0.6244689374946225,449436.82930224796,394158.14910494204,1097422.0642994216,2.8362969629565375,4.171357323552349,3.9172885236181356,30.61543655686757,,44.92496976231296,65.00439529705042,37.17367842071664,76.32479375965241,78.63302086579115,51.64846126776619,92.2199428919675
