cloudnum,RGAL_KPC,x,corr_x,y,nn_index,nn2_index,nn3_index,min_dist,min_dist2nd,min_dist3rd,mean_cloud_sep_nn,mean_cloud_sep_nn2,mean_cloud_sep_nn3,beam_sep_nn,beam_sep_nn2,beam_sep_nn3,RGAL_KPC_nn,RGAL_KPC_nn2,RGAL_KPC_nn3,MLUM_MSUN_nn,MLUM_MSUN_nn2,MLUM_MSUN_nn3,SIGV_KMS_nn,SIGV_KMS_nn2,SIGV_KMS_nn3,RAD_PC_nn,RAD_PC_nn2,RAD_PC_nn3,RAD_NODC_nn,RAD_NODC_nn2,RAD_NODC_nn3
1,2.9079271353950227,139.47454490852712,0.005580201879918855,-22.34215223633516,3.0,2.0,4.0,91.09143808280581,1459.867176694781,2233.640345330142,1.8038778321081288,28.909654884009072,44.23263468714448,0.7590953173567159,12.165559805789853,18.613669544417867,2.813868832640088,2.281940061264054,3.1287632365220395,1407040.9306192673,1018847.7419674309,3110807.485616,3.8871144037899925,2.7794765259965994,5.273939285204895,,,,70.47185670530617,94.74204280991584,109.83148386079694
2,2.2819400612640544,139.4677668106478,-0.0006890538000680778,-22.3446712378897,3.0,1.0,7.0,1403.0065469045694,1459.867176694781,2508.076904428964,27.78364752528201,28.909654884009072,49.66728404275546,11.691721224204755,12.165559805789853,20.900640870241386,2.813868832640088,2.9079271353950227,1.5733550557154725,1407040.9306192673,1372201.6785827489,1559322.0956496415,3.8871144037899925,3.3567128359174885,1.291811115280136,,,28.908399495662003,70.47185670530617,77.47602618894243,119.23197897411669
3,2.813868832640088,139.47440298207414,0.005448914144099965,-22.34255285192708,1.0,2.0,4.0,91.09143808280581,1403.0065469045694,2186.1496977141865,1.8038778321081288,27.78364752528201,43.2921804768486,0.7590953173567159,11.691721224204755,18.217914147618238,2.9079271353950227,2.281940061264054,3.1287632365220395,1372201.6785827489,1018847.7419674309,3110807.485616,3.3567128359174885,2.7794765259965994,5.273939285204895,,,,77.47602618894243,94.74204280991584,109.83148386079694
4,3.1287632365220395,139.48164424452887,0.012145897068934174,-22.350136934736994,5.0,11.0,12.0,1560.8882954965493,1621.8778121993341,1710.4370460857278,30.910169538477675,32.1179409765697,33.87167373343896,13.007402462471259,13.515648434994464,14.253642050714411,1.563643867132696,2.137014100960521,1.5130406933604983,1724138.425077657,1016347.1430207262,1387063.7033688277,2.6807324479916907,3.104172855366891,4.809806206468503,55.97412967490816,29.391673429167913,30.738780211522133,146.20687138842987,113.08433550675292,111.82469394305946
5,1.563643867132696,139.47628057586928,0.0071848907998430765,-22.355387996384568,12.0,11.0,4.0,160.90404278928563,516.3063840695978,1560.8882954965493,3.186372308891645,10.224381790442427,30.910169538477675,1.3408670232440485,4.302553200579987,13.007402462471259,1.5130406933604983,2.137014100960521,3.1287632365220395,1387063.7033688277,1016347.1430207262,3110807.485616,4.809806206468503,3.104172855366891,5.273939285204895,30.738780211522133,29.391673429167913,,111.82469394305946,113.08433550675292,109.83148386079694
6,1.9114351740433708,139.46330034287365,-0.0048197651736198045,-22.355813000975534,9.0,7.0,8.0,155.82524676455205,259.5623368927517,929.9439890136563,3.0857972410736614,5.140096099321506,18.41562041603756,1.2985437230379349,2.163019474106266,7.749533241780474,1.846755874480245,1.5733550557154725,3.1422078020190427,2152973.792310213,1559322.0956496415,1232001.4016338894,4.700595808096841,1.291811115280136,2.3586172617108074,,28.908399495662003,,120.48891857890007,119.23197897411669,95.79398694039706
7,1.5733550557154723,139.46459565525709,-0.0036218066106246186,-22.35590224791648,9.0,6.0,8.0,227.6929296148597,259.5623368927517,1189.0929873184084,4.5089882968653034,5.140096099321506,23.54753119814661,1.8974410801238324,2.163019474106266,9.909108227653414,1.846755874480245,1.9114351740433708,3.1422078020190427,2152973.792310213,1547181.2190084676,1232001.4016338894,4.700595808096841,5.350182267188547,2.3586172617108074,,,,120.48891857890007,117.03984874911392,95.79398694039706
8,3.1422078020190427,139.45864696885295,-0.009123392911289128,-22.355767682669168,6.0,13.0,9.0,929.9439890136563,981.4775873829306,1007.6321209841284,18.41562041603756,19.436136917518123,19.9540734477268,7.749533241780474,8.178979894857763,8.396934341534411,1.9114351740433708,3.094080907335873,1.846755874480245,1547181.2190084676,4817979.701414156,2152973.792310213,5.350182267188547,8.833454354626591,4.700595808096841,,38.959293803418284,,117.03984874911392,121.97588395230692,120.48891857890007
9,1.846755874480245,139.46363258521524,-0.004512473152048559,-22.356465429472326,6.0,7.0,10.0,155.82524676455205,227.6929296148597,1007.1341655928619,3.0857972410736614,4.5089882968653034,19.944212469454968,1.2985437230379349,1.8974410801238324,8.392784713273858,1.9114351740433708,1.5733550557154725,2.842346048833662,1547181.2190084676,1559322.0956496415,5374998.473226408,5.350182267188547,1.291811115280136,3.937405779253482,,28.908399495662003,88.51118503085868,117.03984874911392,119.23197897411669,174.32926632673642
10,2.8423460488336625,139.46071858119222,-0.007207250193207486,-22.36026860172502,13.0,14.0,9.0,211.29086272079869,281.0354714670541,1007.1341655928619,4.184179231450671,5.565327188650092,19.944212469454968,1.760757189339991,2.341962262225453,8.392784713273858,3.094080907335873,3.1915321897157534,1.846755874480245,4817979.701414156,4303886.072057557,2152973.792310213,8.833454354626591,7.264898286640572,4.700595808096841,38.959293803418284,40.910484542770426,,121.97588395230692,119.50820186789515,120.48891857890007
11,2.137014100960521,139.47823663449122,0.008993836084213974,-22.356949243152318,12.0,5.0,4.0,485.02287611721016,516.3063840695978,1621.8778121993341,9.604876514275944,10.224381790442427,32.1179409765697,4.041857300976756,4.302553200579987,13.515648434994464,1.5130406933604983,1.563643867132696,3.1287632365220395,1387063.7033688277,1724138.425077657,3110807.485616,4.809806206468503,2.6807324479916907,5.273939285204895,30.738780211522133,55.97412967490816,,111.82469394305946,146.20687138842987,109.83148386079694
