cloudnum,x,corr_x,y,nn_index,nn2_index,nn3_index,min_dist,min_dist2nd,min_dist3rd,mean_cloud_sep_nn,mean_cloud_sep_nn2,mean_cloud_sep_nn3,beam_sep_nn,beam_sep_nn2,beam_sep_nn3,mlum_nn,mlum_nn2,mlum_nn3
1,139.47451332639372,129.00425370649685,-22.342098519145235,3.0,4.0,2.0,85.6868373042483,1202.294740830099,1556.9079520572213,2.2624037732948383,31.74438739766273,41.107298813004064,0.9520759700472036,13.358830453667775,17.29897724508025,620721.9527871127,1174255.4296372551,331845.6653591659
2,139.48299434643212,129.01142210227448,-22.342828945757415,4.0,1.0,3.0,395.74343183090673,1556.9079520572213,1583.4432537202301,10.448879449848736,41.107298813004064,41.807914782697814,4.397149242565632,17.29897724508025,17.593813930224787,1174255.4296372551,1403123.5508561337,620721.9527871127
3,139.47471709479814,129.0041028113882,-22.34246525570976,1.0,4.0,2.0,85.6868373042483,1239.4999103003618,1583.4432537202301,2.2624037732948383,32.72672165626913,41.807914782697814,0.9520759700472036,13.772221225559585,17.593813930224787,1403123.5508561337,1174255.4296372551,331845.6653591659
4,139.48037708587728,129.00981601703327,-22.34194859467804,2.0,1.0,3.0,395.74343183090673,1202.294740830099,1239.4999103003618,10.448879449848736,31.74438739766273,32.72672165626913,4.397149242565632,13.358830453667775,13.772221225559585,331845.6653591659,1403123.5508561337,620721.9527871127
5,139.46625796418198,128.99141847088853,-22.34771717716129,6.0,10.0,9.0,285.56560367743805,922.5617147263458,958.2220547826024,7.539835984248923,24.358549926206212,25.300095797642545,3.172951151971535,10.250685719181623,10.646911719806695,1394420.26716545,1073909.7585321364,652558.6570885015
6,139.46602163557648,128.99040965800586,-22.34857098408606,5.0,10.0,9.0,285.56560367743805,640.92411090955,673.1688742306957,7.539835984248923,16.9224255735894,17.7737894061432,3.172951151971535,7.1213790101061125,7.479654158118846,869583.3994344479,1073909.7585321364,652558.6570885015
7,139.46876279956382,128.98924628789578,-22.35256668157249,14.0,19.0,11.0,113.27797194958187,156.8386502325965,176.44130942945785,2.9908970762912577,4.1410368879037085,4.658609149044837,1.2586441327731324,1.7426516692510732,1.960458993660644,2351031.8750073034,661020.9001277691,552477.3860391874
8,139.48324895292762,129.00418747999316,-22.35089945807694,16.0,12.0,3.0,232.45742510256167,1658.8231507901153,1822.4848026516363,6.137611939335326,43.798182703965,48.11936843521632,2.5828602789173534,18.431368342112407,20.24983114057375,744532.128756265,2978006.0136610656,620721.9527871127
9,139.4651405822164,128.9878938589417,-22.350408650357213,10.0,7.0,14.0,90.01801465288067,550.2904030794264,581.6358480411506,2.376760566994227,14.529408757546785,15.357027738338536,1.0002001628097856,6.114337811993628,6.462620533790567,1073909.7585321364,932111.7372972311,2351031.8750073034
10,139.46464199424437,128.9878105623307,-22.350000450719104,9.0,7.0,6.0,90.01801465288067,635.3703524817935,640.92411090955,2.376760566994227,16.775788768938643,16.9224255735894,1.0002001628097856,7.059670583131043,7.1213790101061125,652558.6570885015,932111.7372972311,1394420.26716545
