cloudnum,x,corr_x,y,nearest_neighbor,nearest_neighbor_corr,min_distance,min_distance_corr,true_dist,true_dist_corr,nearest_neighbor2,nearest_neighbor2_corr,min_distance2,min_distance_corr2,true_dist2_corr,nearest_neighbor3,nearest_neighbor3_corr,min_distance3,min_distance_corr3,true_dist3_corr
1,169.57582425445398,-166.77701154107598,-32.81679884244965,260.0,260.0,88.13291022155025,129.35925815422087,10859758.718861103,15939679.378273841,309.0,309.0,106.68625238855914,161.61223388287127,19913898.923480477,254.0,254.0,192.88327471892157,206.6371156230949,25461875.8462319
2,169.5600818101528,-166.75309328590956,-32.82063195800197,5.0,5.0,161.94472758458613,169.8313826408468,19954868.878598128,20926664.440489538,10.0,10.0,169.04306964664676,243.16821898774597,29963247.32343157,247.0,247.0,255.31864143320288,311.082162414431,38331620.01651714
3,169.57782780908673,-166.78005484750693,-32.815523617512895,311.0,311.0,26.441838665274293,35.003445830629545,3258169.817223587,4313133.142815616,326.0,326.0,155.53694382963192,190.96065487153183,23530218.524356205,309.0,268.0,218.82854905897727,248.36491225254608,30603585.136511758
4,169.570405372051,-166.76877961574252,-32.818441236191816,332.0,332.0,124.62023558368408,174.75979188577284,15355735.859900357,21533944.231127996,347.0,347.0,188.16418872021097,200.4349882998318,24697648.202948835,308.0,308.0,244.79433488371,359.7125460342849,44323867.761311725
5,169.5597190388596,-166.75254198005476,-32.821895169719376,2.0,2.0,161.94472758458613,169.8313826408468,19954868.878598128,20926664.440489538,10.0,10.0,214.29692836137986,311.41299796622565,38372385.6539967,9.0,9.0,236.16077828273575,355.6790834738243,43826863.51967202
6,169.55084972145391,-166.73906140111785,-32.82398901613136,7.0,262.0,119.68036297867104,156.49062424243184,14747043.551232716,19282812.932928845,262.0,7.0,156.39865807918636,181.68054407609404,22386721.006012484,230.0,230.0,348.0065012772803,500.85723702373224,61715751.05145194
7,169.54988079624587,-166.73758850847156,-32.82392153960986,6.0,6.0,119.68036297867104,181.68054407609404,14747043.551232716,22386721.006012484,262.0,262.0,200.66066354783425,239.8153815898207,29550109.88052277,235.0,235.0,328.63449285411986,411.6420050144324,50722628.37760988
8,169.5893970303955,-166.79762446405488,-32.8120682806558,14.0,14.0,141.95365577640672,202.6467425802887,17491564.128732167,24970181.10547969,214.0,214.0,195.76321615473955,294.9170250738899,36339747.84601659,15.0,15.0,284.95088596497834,426.622603985572,52568541.44097784
9,169.5578329677913,-166.74967561147912,-32.82223574827303,266.0,266.0,146.852637234417,162.5998272826066,18095217.82028083,20035590.42335839,13.0,236.0,225.85112541195375,256.23892063305874,31573822.371929284,5.0,13.0,236.16077828273575,336.9054666105805,41513573.86541393
10,169.5613215330574,-166.75497725656356,-32.82121943970554,2.0,2.0,169.04306964664676,243.16821898774597,20829528.32084439,29963247.32343157,5.0,5.0,214.29692836137986,311.41299796622565,38372385.6539967,297.0,257.0,229.88390376864425,316.827101554731,39039512.82025373
