cloudnum,x,corr_x,y,nn_index,nn2_index,nn3_index,min_dist,min_dist2nd,min_dist3rd,mean_cloud_sep_nn,mean_cloud_sep_nn2,mean_cloud_sep_nn3,beam_sep_nn,beam_sep_nn2,beam_sep_nn3
1,169.58594045912324,0.013606781284065717,-32.81403439365587,205.0,229.0,190.0,120.19411445888807,125.3320208506249,169.9816848649733,1.3492811829552909,1.4069585529776596,1.9081890146442566,1.3354901606543128,1.3925780094513889,1.8886853873885936
2,169.5505399884271,-0.01614312651613051,-32.824200906772,194.0,201.0,223.0,344.99491304945207,402.6042200245168,418.01478007895804,3.8728613833428858,4.519574861906243,4.692571508155276,3.8332768116605815,4.473380222494635,4.644608667543982
3,169.58941059869656,0.016523436712118207,-32.81278387259875,4.0,222.0,205.0,124.08144721871561,268.72239715410024,271.11026923798113,1.392919800106674,3.016637508009476,3.0434434034943734,1.378682746874619,2.9858044128233385,3.0123363248664594
4,169.58831999915404,0.015606773788295485,-32.8132007133403,3.0,205.0,190.0,124.08144721871561,147.02994228000418,181.9474432936917,1.392919800106674,1.6505361792674873,2.042514832179863,1.378682746874619,1.633666025333381,2.021638258818798
5,169.55471064328327,-0.012643452142792685,-32.788451441275804,20.0,10.0,6.0,154.36582454513663,203.80737378474186,308.23906729012646,1.7328876982688963,2.287911148006736,3.460245746795819,1.7151758282792973,2.2645263753860223,3.4248785254458523
6,169.55728777337922,-0.010476774034301785,-32.789701703434815,13.0,20.0,30.0,162.35108412385276,199.3868285731615,278.9480612752962,1.8225290300352741,2.238286767484937,3.131429286659088,1.8039009347094765,2.215409206368463,3.099422903058849
7,169.55857668605321,-0.009393460414772077,-32.78753514778401,8.0,10.0,20.0,203.29296833027817,247.29710376523946,266.9661225877575,2.2821365091798502,2.776120363396922,2.9969218319538093,2.2588107592253146,2.747745597391552,2.966290250975086
8,169.55996455991334,-0.008226804356697261,-32.786368585996286,7.0,11.0,17.0,203.29296833027817,247.2930434436372,331.790636164133,2.2821365091798502,2.7760747828328545,3.7246321425343725,2.2588107592253146,2.7477004827070823,3.686562624045925
9,169.55560342495562,-0.01189349158672547,-32.78411820415175,24.0,15.0,10.0,101.64455624041044,373.216078273519,405.18533991938693,1.1410466119947762,4.1896679704984505,4.548550128463833,1.1293839582267835,4.146845314150214,4.502059332437637
10,169.55619769566934,-0.011393461974447626,-32.787368265464316,20.0,5.0,7.0,123.22025619786184,203.80737378474186,247.29710376523946,1.383252198289403,2.287911148006736,2.776120363396922,1.3691139577540217,2.2645263753860223,2.747745597391552
