cloudnum,x,corr_x,y,nn_index,nn2_index,nn3_index,min_dist,min_dist2nd,min_dist3rd,mean_cloud_sep_nn,mean_cloud_sep_nn2,mean_cloud_sep_nn3,beam_sep_nn,beam_sep_nn2,beam_sep_nn3,MLUM_MSUN_nn,MLUM_MSUN_nn2,MLUM_MSUN_nn3,SIGV_KMS_nn,SIGV_KMS_nn2,SIGV_KMS_nn3,RAD_NODC_nn,RAD_NODC_nn2,RAD_NODC_nn3
1,169.55597237774552,-0.011713649410241226,-32.788848769744305,5.0,3.0,2.0,167.30221087692325,260.3942141636424,499.31679529899816,2.188811871951411,3.406732907840221,6.5325528197543345,1.115348072512822,1.7359614277576163,3.328778635326655,1995110.0971549274,11359518.336605506,2026488.413853108,8.018965881261138,6.184634613149451,3.5709167928200025,181.2504209044632,199.73101771106118,188.18102462882933
2,169.56012682398568,-0.008221312671377653,-32.786793495132194,5.0,7.0,8.0,345.78519997007135,475.5991772195369,486.1654516337989,4.523901667960455,6.222255641046251,6.3604940227090445,2.305234666467143,3.17066118146358,3.2411030108919934,1995110.0971549274,5166744.99547734,5804463.726267692,8.018965881261138,6.355196241378773,11.021997007669075,181.2504209044632,216.61243927225786,166.26885301019755
3,169.55674515772802,-0.011063744763044057,-32.790859594537245,1.0,10.0,5.0,260.3942141636424,335.8650536608838,376.4561124020218,3.406732907840221,4.394116568891931,4.925168673953711,1.7359614277576163,2.2391003577392263,2.50970741601348,3912591.285502211,5232376.797619668,1995110.0971549274,6.169048199336559,6.22167748139497,8.018965881261138,161.6895528097231,159.0298104102136,181.2504209044632
4,169.56191225938582,-0.00671991500668542,-32.79205316008802,12.0,11.0,7.0,163.28151909654002,196.10120266781482,226.47421726269383,2.136209232355485,2.565588573237845,2.9629581870867123,1.0885434606436004,1.3073413511187653,1.5098281150846258,4535109.460038815,4333010.047822831,5166744.99547734,12.279743467283565,9.103976495991935,6.355196241378773,138.94957857006796,154.1952698872805,216.61243927225786
5,169.5570167255526,-0.01083582161916522,-32.787812960030124,1.0,2.0,3.0,167.30221087692325,345.78519997007135,376.4561124020218,2.188811871951411,4.523901667960455,4.925168673953711,1.115348072512822,2.305234666467143,2.50970741601348,3912591.285502211,2026488.413853108,11359518.336605506,6.169048199336559,3.5709167928200025,6.184634613149451,161.6895528097231,188.18102462882933,199.73101771106118
6,169.56659764366415,-0.002781366610899102,-32.786260231468525,9.0,13.0,21.0,88.94725150054943,239.84302478366558,257.81147339590257,1.16369532142689,3.1378620599187514,3.372942955962296,0.5929816766703297,1.5989534985577711,1.718743155972684,3334808.4515362405,1546106.7826525082,2729305.1643329435,6.667955355177633,5.953192127165951,3.6206097556913477,102.96260273282226,84.98559616823972,148.60638263827798
7,169.5605153347019,-0.007894353683397689,-32.790639370564406,4.0,11.0,12.0,226.47421726269383,345.94351734116447,370.9280631332227,2.9629581870867123,4.5259729313321,4.852845302942306,1.5098281150846258,2.3062901156077635,2.472853754221485,3037430.0243622116,4333010.047822831,4535109.460038815,5.6135344815163295,9.103976495991935,12.279743467283565,125.21712474048915,154.1952698872805,138.94957857006796
8,169.56398650053447,-0.004976390050481875,-32.78903792067933,20.0,21.0,9.0,298.0637575415643,315.3180305186757,376.7343411332821,3.899562878970968,4.125300227785652,4.928808735533939,1.9870917169437623,2.1021202034578383,2.511562274221881,1611520.7612456763,2729305.1643329435,3334808.4515362405,4.296252843015435,3.6206097556913477,6.667955355177633,203.49555662152014,148.60638263827798,102.96260273282226
9,169.56667530147462,-0.002716058011741036,-32.78697912688825,6.0,13.0,21.0,88.94725150054943,164.43401507789318,168.9557898856042,1.16369532142689,2.151287316937511,2.2104456169356483,0.5929816766703297,1.096226767185955,1.1263719325706951,627707.676751246,1546106.7826525082,2729305.1643329435,3.645781747018056,5.953192127165951,3.6206097556913477,78.24227585548078,84.98559616823972,148.60638263827798
10,169.55602638088934,-0.011667637951795479,-32.79351758518482,15.0,3.0,24.0,264.84115290383255,335.8650536608838,410.62523822824966,3.46491212888787,4.394116568891931,5.372202744039423,1.7656076860255507,2.2391003577392263,2.7375015881883322,5655959.278011473,11359518.336605506,7105528.950106257,6.884213136888119,6.184634613149451,7.677108439253983,192.16253596341915,199.73101771106118,205.49835112285226
