cloudnum,x,corr_x,y,nn_index,nn2_index,nn3_index,min_dist,min_dist2nd,min_dist3rd,mean_cloud_sep_nn,mean_cloud_sep_nn2,mean_cloud_sep_nn3,beam_sep_nn,beam_sep_nn2,beam_sep_nn3,MLUM_MSUN_nn,MLUM_MSUN_nn2,MLUM_MSUN_nn3,SIGV_KMS_nn,SIGV_KMS_nn2,SIGV_KMS_nn3,RAD_NODC_nn,RAD_NODC_nn2,RAD_NODC_nn3,RAD_PC_nn,RAD_PC_nn2,RAD_PC_nn3
1,169.55883295996784,-0.009374234344488341,-32.788195498622215,4.0,16.0,5.0,67.06974123062054,117.50848052829832,194.51155276638482,2.0614746249631875,3.611774048659567,5.9785623581178164,1.064599067152707,1.865213976639656,3.0874849645457902,632153.2242820708,1259268.1451037594,529014.6713287029,8.828610767586046,4.818848119169598,2.58732519321811,105.94396082800048,82.7544245836518,79.45593984572987,53.16292494223999,39.906777759384944,32.82680086963106
2,169.55478085580305,-0.012780818874738344,-32.78771581732997,3.0,8.0,17.0,109.73795818274743,154.86354683399242,196.81556164128875,3.3729370657795843,4.759929981425394,6.049379029602691,1.7418723521071022,2.4581515370474984,3.1240565339887105,722442.5922196265,753795.7139595195,1258748.4434357437,2.580326115294476,3.504486050519632,2.9878032772950114,54.346364267699116,55.036002020707485,77.9416755496323,,,
3,169.55464963037903,-0.012891009740129907,-32.78859955798676,2.0,8.0,17.0,109.73795818274743,156.83826969133204,225.56805976280063,3.3729370657795843,4.820625624304687,6.9331239821586985,1.7418723521071022,2.489496344306857,3.5804453930603275,693534.1952306542,753795.7139595195,1258748.4434357437,0.87856246352919,3.504486050519632,2.9878032772950114,76.22303196089592,55.036002020707485,77.9416755496323,,,
4,169.55856937830652,-0.009595875331851364,-32.787698360548376,1.0,16.0,13.0,67.06974123062054,159.1204083206831,165.68138560026273,2.0614746249631875,4.890770085707613,5.092430147736279,1.064599067152707,2.52572076699497,2.629863263496234,706242.5077619216,1259268.1451037594,331539.3708453941,6.945085525421548,4.818848119169598,1.5912889286117249,80.5945830029504,82.7544245836518,48.62471458172759,,39.906777759384944,
5,169.56045981593343,-0.008006642979888227,-32.78740710071518,16.0,30.0,6.0,114.12598281667756,123.8506674309558,138.34345314152435,3.5078086378266,3.806709307491805,4.252163687353437,1.81152353677266,1.9658836100151715,2.1959278276432435,1259268.1451037594,258431.63360824191,1392699.9877394652,4.818848119169598,7.255310438442877,3.3107339830754445,82.7544245836518,54.43442354470644,66.6282813650834,39.906777759384944,,26.07173678606027
6,169.56000292531138,-0.008390843881361172,-32.78635215076484,13.0,5.0,12.0,111.62375381598352,138.34345314152435,183.38960078761727,3.4308994162293236,4.252163687353437,5.636714881690981,1.7718056161267228,2.1959278276432435,2.9109460442478925,331539.3708453941,529014.6713287029,582230.2764422836,1.5912889286117249,2.58732519321811,2.624394909552118,48.62471458172759,79.45593984572987,79.18483427235034,,32.82680086963106,
7,169.55689898047805,-0.010999980139304382,-32.78907351280888,11.0,8.0,17.0,103.91480504375956,126.91737998425656,145.41263346791186,3.1939549761958284,3.9009686559653214,4.469444022639472,1.6494413499009457,2.014561587051692,2.308137039173204,1748577.370028813,753795.7139595195,1258748.4434357437,5.61831181589593,3.504486050519632,2.9878032772950114,92.48439160199977,55.036002020707485,77.9416755496323,44.13196000262472,,
8,169.55611572140225,-0.011658546270487702,-32.78828155353859,17.0,7.0,2.0,73.19086339134708,126.91737998425656,154.86354683399242,2.2496151750698075,3.9009686559653214,4.759929981425394,1.1617597363705885,2.014561587051692,2.4581515370474984,1258748.4434357437,1342547.713993434,693534.1952306542,2.9878032772950114,6.746018357263671,0.87856246352919,77.9416755496323,90.90008364226719,76.22303196089592,,38.25732622595223,
9,169.55485430496637,-0.012719553217173812,-32.784346423252806,15.0,2.0,17.0,86.52208189160568,415.24618852873635,477.54909337574793,2.6593672950850857,12.763124846735748,14.678084634070865,1.3733663792318362,6.591209341725974,7.580144339297585,538629.8455421313,693534.1952306542,1258748.4434357437,3.014362657203689,0.87856246352919,2.9878032772950114,46.682544870986376,76.22303196089592,77.9416755496323,,,
10,169.56218984143587,-0.006552323917592857,-32.78620510742471,12.0,6.0,5.0,85.30785682164752,227.26628402432857,232.48599958169376,2.6220465283013588,6.9853210856274455,7.145755746229973,1.3540929654229763,3.6074013337195017,3.6902539616141854,582230.2764422836,1392699.9877394652,529014.6713287029,2.624394909552118,3.3107339830754445,2.58732519321811,79.18483427235034,66.6282813650834,79.45593984572987,,26.07173678606027,32.82680086963106
