,cloudnum,x,y,corrected_y,nearest_neighbor,nearest_neighbor_corr,min_distance,min_distance_corr,true_dist,true_dist_corr
0,1,169.55605971440164,-32.78872671709377,-32.65618820544519,8.0,8.0,0.0010411900390241494,0.0013616975763307408,7350.801615933123,9613.584810978069
1,2,169.558720459466,-32.78798381139535,-32.66316884464513,8.0,5.0,0.001988331072722275,0.003177258718456649,14037.617259646046,22431.44637049974
2,3,169.55676898385113,-32.790839781445165,-32.66037356074274,1.0,15.0,0.002228924427856833,0.0010173438620505358,15736.206333129163,7182.4476078639
3,4,169.55471481107185,-32.789167585028196,-32.65263674871509,1.0,1.0,0.0014153195759595196,0.003797579475438276,9992.156125288973,26810.91087929499
4,5,169.5602785547263,-32.78633304873324,-32.66593783581952,6.0,2.0,0.0016152746182083377,0.003177258718456649,11403.838712124108,22431.44637049974
5,6,169.5618759949154,-32.78609368095247,-32.670141902133615,5.0,12.0,0.0016152746182083377,0.001505448229228549,11403.838712124108,10628.464412211119
6,7,169.56702524725438,-32.7853986499007,-32.68320180376581,16.0,16.0,0.0016631580501569596,0.000620211648824786,11741.895738941468,4378.694205214194
7,8,169.5567327947917,-32.787932337155794,-32.65737192123789,1.0,1.0,0.0010411900390241494,0.0013616975763307408,7350.801615933123,9613.584810978069
8,9,169.56438971495277,-32.792048574691364,-32.682898930651824,28.0,28.0,0.0008600997937246783,0.001276372904762748,6072.304494480924,9011.192634590358
9,10,169.56353415050413,-32.788382582283305,-32.676946250240086,14.0,11.0,0.0008956191535097196,0.0016389323549298495,6323.071172530882,11570.862332024275
10,11,169.56194696679844,-32.792315964186514,-32.67653765857539,18.0,27.0,0.0015156115698949592,0.0016084967569074016,10700.217596734423,11355.987011727333
11,12,169.56121632776743,-32.78928282094694,-32.67149512555374,13.0,13.0,0.0018725207892685493,0.0006375568600090198,13219.996665089458,4501.151395182384
12,13,169.5605791373645,-32.79104359421362,-32.671473512128216,11.0,12.0,0.0018681227765575963,0.0006375568600090198,13188.946695601788,4501.151395182384
13,14,169.56437235329867,-32.78869809732789,-32.6795131922817,24.0,24.0,0.0007249325339662251,0.0002403401317591621,5118.023648320577,1696.8013164673118
14,15,169.55604053083212,-32.79369885635933,-32.661083733068835,20.0,3.0,0.0024048798572560617,0.0010173438620505358,16978.451654619465,7182.4476078639
15,16,169.56657416515887,-32.78699946832979,-32.683627464936755,19.0,7.0,0.001383254155103671,0.000620211648824786,9765.774255881479,4378.694205214194
16,17,169.5608432623971,-32.793381615556235,-32.67454087464922,11.0,11.0,0.0015342021533478218,0.0022815147278451597,10831.46711484787,16107.493848037508
17,18,169.56343085883037,-32.79262441656271,-32.68089447028875,9.0,24.0,0.0011184806320402088,0.0014812875885971339,7896.473198203899,10457.89029073581
18,19,169.56740291416378,-32.788106973248276,-32.68687632124721,16.0,30.0,0.001383254155103671,0.001996851557533826,9765.774255881479,14097.771881928049
19,20,169.5583417945428,-32.794397163212906,-32.668472930194234,33.0,33.0,0.001975315229170547,0.0006691179197762257,13945.725404915618,4723.972475332918
20,21,169.56026854714798,-32.79808916589658,-32.67762267858852,32.0,27.0,0.001346457089919707,0.0013972287931471425,9505.98697778824,9864.435199668753
21,22,169.56716469667546,-32.797426588388156,-32.69555276871322,26.0,26.0,0.0018919497535047917,0.0024685702750783934,13357.165151485597,17428.106000800733
22,23,169.5654020211904,-32.795679392240665,-32.6892074188386,30.0,30.0,0.0020180329442173713,0.0018345763924995575,14247.31247070187,12952.109226071572
23,24,169.56414750241495,-32.78938727746319,-32.67959807725698,14.0,14.0,0.0007249325339662251,0.0002403401317591621,5118.023648320577,1696.8013164673118
24,25,169.562928068382,-32.799069487828454,-32.685953290516835,38.0,38.0,0.0008392966430654159,0.0013845092678693156,5925.4342520168975,9774.635351935112
25,26,169.56584494058146,-32.798782212864964,-32.69346660403723,22.0,37.0,0.0018919497535047917,0.0019096668138436608,13357.165151485597,13482.247596464234
26,27,169.5615803243319,-32.794902951231286,-32.678103811543245,17.0,21.0,0.0016904799708761563,0.0013972287931471425,11934.788497655623,9864.435199668753
27,28,169.56502343306585,-32.79146704824457,-32.684006869795084,9.0,9.0,0.0008600997937246783,0.001276372904762748,6072.304494480924,9011.192634590358
28,29,169.56898809591127,-32.79826538881452,-32.701044613783395,22.0,31.0,0.002007080199792424,0.0010874672959611113,14169.986095688462,7677.519047260068
29,30,169.5654690932348,-32.793662474219325,-32.687374068931796,9.0,23.0,0.001941579038333663,0.0018345763924995575,13707.547899537616,12952.109226071572
