cloudnum,x,corr_x,y,nn_index,nn2_index,nn3_index,min_dist,min_dist2nd,min_dist3rd,mean_cloud_sep_nn,mean_cloud_sep_nn2,mean_cloud_sep_nn3
1,169.55597237774552,142.5409614467769,-32.788848769744305,7.0,5.0,4.0,249.73210729256314,337.76688564552245,395.23468573909884,3.26724075183637,4.418998203178857,5.170848417473309
2,169.56012682398568,142.54774774218515,-32.786793495132194,8.0,21.0,5.0,279.9429214052511,441.4986558021386,538.3460678598431,3.6624882996396355,5.776119121230361,7.043172103785496
3,169.556745157728,142.53838845430997,-32.79085959453725,11.0,4.0,1.0,323.73042530493825,333.67562167077955,402.37978893473735,4.23535944029217,4.365472268809752,5.2643276764679
4,169.5619122593858,142.54081918554084,-32.79205316008802,12.0,7.0,3.0,102.90224514334082,220.09472521848238,333.67562167077955,1.3462682569442737,2.879495405272897,4.365472268809752
5,169.55701672555261,142.54349937462962,-32.78781296003012,1.0,7.0,20.0,337.76688564552245,399.5090745363258,452.3368469201204,4.418998203178857,5.226770170662746,5.917914984328481
6,169.56659764366415,142.55404231217696,-32.786260231468525,9.0,13.0,21.0,160.5641602577618,290.7426662435075,455.6326563038642,2.1006580746302275,3.803781170738699,5.961034000323639
7,169.56051533470193,142.54191082314532,-32.79063937056441,12.0,4.0,1.0,217.3989745044257,220.09472521848238,249.73210729256314,2.8442269462619785,2.879495405272897,3.26724075183637
8,169.56398650053447,142.54739554747198,-32.789037920679334,2.0,20.0,21.0,279.9429214052511,432.67069416435896,450.30814330002016,3.6624882996396355,5.660623054940367,5.891373490674145
9,169.56667530147462,142.55295549507017,-32.78697912688825,13.0,6.0,21.0,137.17994373917426,160.5641602577618,295.0848949535503,1.7947227826583825,2.1006580746302275,3.8605904723101045
10,169.55602638088934,142.533524134157,-32.79351758518482,15.0,25.0,23.0,127.97415646317383,312.4576827740147,511.5230163124817,1.6742836302123205,4.087878348728541,6.692246593829026
11,169.56094867200534,142.53781335080168,-32.79342312728909,17.0,3.0,25.0,257.6695179497131,323.73042530493825,339.71684740448774,3.3710857553653697,4.23535944029217,4.444509518453789
12,169.5634415685201,142.54159008459095,-32.792374283864305,4.0,7.0,20.0,102.90224514334082,217.3989745044257,405.63333925018696,1.3462682569442737,2.8442269462619785,5.306893817818454
13,169.56779145132802,142.55237316451914,-32.787927972062334,9.0,21.0,6.0,137.17994373917426,178.6354533174471,290.7426662435075,1.7947227826583825,2.3370844827644923,3.803781170738699
14,169.56020493353472,142.5291944850034,-32.7984099837536,16.0,24.0,29.0,118.30570667198151,290.28202024228574,322.4505864196692,1.5477914722461825,3.7977545472353023,4.218615330745866
15,169.5583604054243,142.53408003382984,-32.79439486805748,10.0,25.0,23.0,127.97415646317383,198.72110088529288,384.81239316801623,1.6742836302123205,2.599864655374853,5.034493747723495
16,169.56236285938218,142.5297129942557,-32.79921804968951,14.0,29.0,32.0,118.30570667198151,256.391105294919,344.7626675916182,1.5477914722461825,3.354360305167196,4.51052389490126
17,169.56560572619696,142.53914866828208,-32.79503239757139,11.0,4.0,23.0,257.6695179497131,420.8739617454735,423.85016589640884,3.3710857553653697,5.506286612921165,5.545224239296651
18,169.57281146922932,142.56688721530153,-32.78150468524266,6.0,9.0,13.0,1687.7429490573952,1844.4483519856467,1955.7357996040962,22.08071121317538,24.130885233772247,25.586856946696166
19,169.56736016442517,142.53654496562805,-32.797576646850125,26.0,23.0,25.0,98.78914087993438,115.03066948090141,337.24059552772013,1.2924565864640734,1.5049442184810065,4.412112758856882
20,169.5650563687659,142.54469602077108,-32.791283406800176,7.0,12.0,8.0,352.248479254594,405.63333925018696,432.67069416435896,4.608460636760382,5.306893817818454,5.660623054940367
21,169.56691360345013,142.55098191999954,-32.788335575920016,13.0,9.0,2.0,178.6354533174471,295.0848949535503,441.4986558021386,2.3370844827644923,3.8605904723101045,5.776119121230361
22,169.56580754418516,142.53305354698247,-32.79894044355557,32.0,34.0,41.0,224.94474782046558,300.75296989161257,340.57178564941995,2.9429481653697915,3.9347457966809682,4.455694660422234
23,169.5652789882186,142.53615587711542,-32.79672805881859,19.0,26.0,25.0,115.03066948090141,210.57602419694845,222.57005523334442,1.5049442184810065,2.754962407817074,2.9118801041667655
24,169.55795083542674,142.5304722817764,-32.79643083741917,14.0,16.0,22.0,290.28202024228574,355.9566012316276,443.6109000948646,3.7977545472353023,4.656973931136068,5.803753576030133
25,169.56132187775867,142.5355663928604,-32.795020677879954,15.0,23.0,10.0,198.72110088529288,222.57005523334442,312.4576827740147,2.599864655374853,2.9118801041667655,4.087878348728541
26,169.5691180172577,142.53710866133676,-32.798146747899516,19.0,23.0,38.0,98.78914087993438,210.57602419694845,281.13029680161844,1.2924565864640734,2.754962407817074,3.6780227109926553
27,169.5681676481858,142.52525836499012,-32.80503981764047,28.0,37.0,65.0,256.78671388949977,364.3638660214017,364.4724559994524,3.359536045427445,4.766966027989073,4.768386708755254
28,169.56671209350293,142.52659648926124,-32.80344221480136,27.0,30.0,29.0,256.78671388949977,340.6487128993034,390.89808822133455,3.359536045427445,4.456701098274662,5.114112788691091
29,169.5642865283055,142.52855669018217,-32.800947934400796,16.0,14.0,28.0,256.391105294919,322.4505864196692,390.89808822133455,3.354360305167196,4.218615330745866,5.114112788691091
30,169.5604991700947,142.52519059238546,-32.80106183687758,28.0,37.0,29.0,340.6487128993034,402.5117879234253,415.0087852130326,4.456701098274662,5.266054616907069,5.429552611869967
31,169.56712826146023,142.52101068093856,-32.80714406447932,39.0,36.0,57.0,70.42719430285594,135.0370540066644,251.8409392949905,0.9213977399959314,1.7666873941108223,3.2948305637023934
