,cloudnum,x,corr_x,y,nearest_neighbor,nearest_neighbor_corr,min_distance,min_distance_corr,true_dist,true_dist_corr
0,1,169.55883295996784,-166.75119537569017,-32.78819549862221,4.0,4.0,0.0005626913511224775,0.0006384443881272356,69.33496569010238,78.66927340812293
1,2,169.55478085580305,-166.7450368096461,-32.787715817329975,3.0,3.0,0.0008934302772780473,0.0009059688711548485,110.08869693482934,111.63370553415454
2,3,169.55464963037903,-166.74483735527275,-32.78859955798676,2.0,2.0,0.0008934302772780473,0.0009059688711548485,110.08869693482934,111.63370553415454
3,4,169.55856937830654,-166.75079479489648,-32.787698360548376,1.0,1.0,0.0005626913511224775,0.0006384443881272356,69.33496569010238,78.66927340812293
4,5,169.56045981593343,-166.753667737486,-32.78740710071518,16.0,16.0,0.0009640080149558103,0.0011172201887084492,118.78530300601028,137.6641444690151
5,6,169.56000292531138,-166.75297340460938,-32.78635215076484,13.0,5.0,0.0010773080416745622,0.0012629400386759396,132.74615996526796,155.6197799656475
6,7,169.55689898047805,-166.74825611971997,-32.789073512808876,11.0,11.0,0.0008702984990345247,0.0009816196515444711,107.23839357106465,120.95541316708784
7,8,169.55611572140225,-166.74706567770988,-32.78828155353859,17.0,17.0,0.0006647567405706282,0.0009163202006941349,81.91148790146676,112.90919888769844
8,9,169.55485430496637,-166.7451484474106,-32.78434642325281,15.0,15.0,0.000815541894923898,0.0011973832481609907,100.4912714414223,147.54185622994422
9,10,169.56218984143587,-166.75629675871963,-32.78620510742471,12.0,12.0,0.0007406406727495344,0.0009260366548957673,91.26192455480941,114.10646274710507
10,11,169.55650226966912,-166.7476531793176,-32.789848135305,7.0,20.0,0.0008702984990345247,0.0009755785158851161,107.23839357106465,120.21102295594443
11,12,169.56170402992998,-166.75555851208108,-32.78676415642693,10.0,10.0,0.0007406406727495344,0.0009260366548957673,91.26192455480941,114.10646274710507
12,13,169.55892620140477,-166.7513370795312,-32.78638762252259,6.0,4.0,0.0010773080416745622,0.0014184875033973576,132.74615996526796,174.7863765520849
13,14,169.5670237457123,-166.7636418621978,-32.785676181631665,23.0,23.0,0.0008660257780846033,0.0008696175004118102,106.71190785225058,107.15448075447928
14,15,169.5556202485793,-166.74631261564534,-32.78406635368252,9.0,9.0,0.000815541894923898,0.0011973832481609907,100.4912714414223,147.54185622994422
15,16,169.55996634736442,-166.7529178170064,-32.78823523127512,5.0,5.0,0.0009640080149558103,0.0011172201887084492,118.78530300601028,137.6641444690151
16,17,169.5566667417575,-166.74790315285458,-32.787909695915,8.0,8.0,0.0006647567405706282,0.0009163202006941349,81.91148790146676,112.90919888769844
17,18,169.56195952834022,-166.75594677270462,-32.79245919185611,41.0,41.0,0.0009592093221517551,0.0009661142634198701,118.19400690689164,119.044835456081
18,19,169.55970572446537,-166.75252174597335,-32.79153986230113,24.0,24.0,0.001044152172639147,0.0011004197586069447,128.66068568632232,135.59399136937515
19,20,169.5567734342358,-166.74806530918534,-32.79073238776487,37.0,37.0,0.0006247495203902228,0.000829261293840983,76.98178846138953,102.18177912615454
