,cloudnum,x,y,corrected_y,nearest_neighbor,nearest_neighbor_corr,min_distance,min_distance_corr,true_dist,true_dist_corr
0,1,169.55495368304742,-32.78836698893571,-32.65255255366685,11.0,5.0,0.0015364317023458865,0.003033075884742813,10847.20773064663,21413.515572730266
1,2,169.55657412261442,-32.78916657303064,-32.65813699778279,11.0,7.0,0.001128198655260317,0.0009576667177665987,7965.082441581794,6761.126972634058
2,3,169.55847604935636,-32.78720978534559,-32.661698234077555,8.0,8.0,0.0014651099396430257,0.001417531631318781,10343.6760900455,10007.773235998784
3,4,169.5599453111697,-32.786335422228525,-32.66500291919531,3.0,8.0,0.0017097488519265162,0.002400751099550972,12070.82679676859,16949.30262545778
4,5,169.55533145672416,-32.78421657586206,-32.64954309584662,11.0,1.0,0.003989742160635528,0.003033075884742813,28167.57942579195,21413.515572730266
5,6,169.56705827497188,-32.78503823435887,-32.682927923601405,22.0,22.0,0.0018382496308897295,0.0010309514851986024,12978.042288896002,7278.517426510616
6,7,169.55649621555338,-32.79035406142396,-32.659091490334966,10.0,2.0,0.0009679242889290786,0.0009576667177665987,6833.5454244542225,6761.126972634058
7,8,169.55846140682223,-32.788674822113535,-32.6631156900811,3.0,3.0,0.0014651099396430257,0.001417531631318781,10343.6760900455,10007.773235998784
8,9,169.5605366822828,-32.78814836309392,-32.668470040945714,4.0,15.0,0.001906954214129732,0.0010415091400943451,13463.096642639111,7353.054469470446
9,10,169.5569259121732,-32.79122137811584,-32.66121181609829,7.0,21.0,0.0009679242889290786,0.001231419628793946,6833.5454244542225,8693.822508822863
10,11,169.55645590740235,-32.78804458489819,-32.65667309536766,2.0,16.0,0.001128198655260317,0.0013732484154544578,7965.082441581794,9695.133734530567
11,12,169.56464628999427,-32.78746753682015,-32.67901787320617,25.0,18.0,0.0012898340706027215,0.0005940248546201088,9106.228464650316,4193.815439627593
12,13,169.56197898649546,-32.79225316526266,-32.67656321970291,24.0,28.0,0.0015167919825428433,0.0005188424893082728,10708.55130996094,3663.0279448280003
13,14,169.56322745747696,-32.78850069371966,-32.67623405310335,18.0,13.0,0.001102437057419759,0.001291135330591281,7783.205562301544,9115.415360095089
14,15,169.55959015713702,-32.791258360224944,-32.66890458833937,39.0,9.0,0.0014622070968203444,0.0010415091400943451,10323.18201988347,7353.054469470446
15,16,169.5551920756846,-32.79125248157034,-32.65613593561511,7.0,11.0,0.0015836475481482198,0.0013732484154544578,11180.551599309392,9695.133734530567
16,17,169.56131076427792,-32.79070881778151,-32.67317809439775,39.0,23.0,0.0006961840439322065,0.0008529518786978364,4915.059310325407,6021.840214800427
17,18,169.5641087145709,-32.789163078351095,-32.679270614560295,32.0,12.0,0.0006337571253809814,0.0005940248546201088,4474.325268925855,4193.815439627593
18,19,169.55014654427447,-32.781363537419786,-32.630872773740165,5.0,85.0,0.005918035608550907,0.006005530629290089,41781.33105773669,42399.04589914881
19,20,169.55926260151534,-32.79608647141687,-32.672785789704825,41.0,52.0,0.0009599837423405258,0.0006987422364589897,6777.485165993402,4933.120149418116
20,21,169.55588709206324,-32.793617814908515,-32.6605505694867,35.0,10.0,0.0015138470758633373,0.001231419628793946,10687.760268972137,8693.822508822863
21,22,169.5667401448182,-32.786848746692655,-32.68390856327537,29.0,6.0,0.0014065944404960471,0.0010309514851986024,9930.556669416113,7278.517426510616
22,23,169.56060784060972,-32.793158734194535,-32.67366123539586,28.0,17.0,0.001014427633823865,0.0008529518786978364,7161.859036750472,6021.840214800427
23,24,169.56349116087134,-32.7923714301148,-32.68080538351079,13.0,18.0,0.0015167919825428433,0.0016543543463325642,10708.55130996094,11679.741590444988
24,25,169.56523674368555,-32.78861428717143,-32.68172848115812,18.0,24.0,0.0012544406890669716,0.0019746312637474446,8856.351193033148,13940.896609067651
25,26,169.56334605779847,-32.79814064851985,-32.68616239083599,30.0,30.0,0.0015170022861211883,0.0013906515648150625,10710.036053212023,9817.99996802062
26,27,169.55800715569373,-32.79408150154929,-32.667195870598455,49.0,57.0,0.0012859727738370804,0.0013630603016221991,9078.967709705836,9623.20565145779
27,28,169.56146047751236,-32.79370834654568,-32.67658181978759,23.0,13.0,0.001014427633823865,0.0005188424893082728,7161.859036750472,3663.0279448280003
28,29,169.5673985896017,-32.788091710242846,-32.68684997145857,22.0,42.0,0.0014065944404960471,0.0020642213152267633,9930.556669416113,14573.402367385257
29,30,169.5624867060924,-32.799390772746214,-32.685069035257975,44.0,26.0,0.001398267289590592,0.0013906515648150625,9871.766984500084,9817.99996802062
30,31,169.5605712669868,-32.798000231718675,-32.67838275780892,44.0,45.0,0.0009736349065250207,0.0010329050882675846,6873.862384354809,7292.3098640658445
31,32,169.56364707410893,-32.789597285879644,-32.67846163121938,18.0,18.0,0.0006337571253809814,0.0009314322100958154,4474.325268925855,6575.911349979478
32,33,169.5728587806373,-32.7816408192334,-32.693987056510046,6.0,37.0,0.006722224000222661,0.005714092672603519,47458.90105692324,40341.49394161784
33,34,169.56880244225516,-32.79791383067445,-32.70022504803777,37.0,50.0,0.0026308921766550366,0.0009624580018243406,18574.0986166437,6794.953437807556
34,35,169.5563134967942,-32.795070368513215,-32.6632527372792,57.0,10.0,0.0011271190024701285,0.00213082422155142,7957.460092944841,15043.618882226285
35,36,169.56536081478885,-32.795234516794,-32.688655155405144,40.0,40.0,0.001427712413740208,0.0012423708055732947,10079.649559311509,8771.137816258433
