cloudnum,x,corr_x,y,nn_index,nn2_index,nn3_index,min_dist,min_dist2nd,min_dist3rd,mean_cloud_sep_nn,mean_cloud_sep_nn2,mean_cloud_sep_nn3,beam_sep_nn,beam_sep_nn2,beam_sep_nn3,MLUM_MSUN_nn,MLUM_MSUN_nn2,MLUM_MSUN_nn3,SIGV_KMS_nn,SIGV_KMS_nn2,SIGV_KMS_nn3,RAD_NODC_nn,RAD_NODC_nn2,RAD_NODC_nn3
1,259.2536503628355,0.002576770451791196,-62.82060545876863,3.0,153.0,11.0,200.24704501793013,207.10225801586472,269.6858853145456,4.292579091653456,4.439530293760483,5.781099004540187,3.3106785637120035,3.4240156005701987,4.458708888146711,2797788.4856033684,1078476.1412297154,660508.0750842562,10.938935876523434,8.69525595421054,4.281365682730143,141.8421025272225,117.39363240531559,107.71445876663279
2,259.257140655138,0.004170928907300638,-62.821525215392334,11.0,1.0,56.0,329.77018135372003,371.97378499855034,404.2502844020269,7.0690910090733015,7.973785041297384,8.665677530790662,5.452080804795016,6.149831754806923,6.6834581794924155,660508.0750842562,729513.6772011109,39532.54466576196,4.281365682730143,8.79854597396238,1.8036111741097467,107.71445876663279,76.51030145039411,118.27192490493907
3,259.25150352386316,0.0015961492471904205,-62.8204638944877,153.0,119.0,194.0,69.35057096475157,128.30014406008522,152.4098871060106,1.4866277347107235,2.7502953454276193,3.267121842891338,1.1465709701415714,2.1211825454046167,2.5197882250619754,1078476.1412297154,3313110.8405041485,3312712.4437486897,8.69525595421054,8.17518848960253,9.816422610538288,117.39363240531559,96.41544510960219,107.83860395142737
4,259.2497898466877,0.0008133294545804122,-62.822125373511426,6.0,137.0,34.0,77.58294432125481,98.10311549508295,107.65893043783286,1.6631003200697068,2.1029792592572365,2.307821689882293,1.282676559102491,1.6219359515335292,1.7799219616987645,924873.5628031091,1140030.5218324754,714733.3681097869,5.825972837505131,8.63471958259691,7.970445775256146,91.01498788779679,112.41881645636329,74.96317771659672
5,259.2979063144537,0.022787023747543732,-62.82692155770285,21.0,7.0,41.0,356.7977734674526,505.69270512018494,615.5754319139115,7.6484657349013805,10.840239528159904,13.195731443290965,5.898927198117197,8.360602767032216,10.17729068912185,1951545.213230823,740174.8711184154,989137.6441603256,3.6499844910848016,3.255083680174031,6.582409326204483,95.58746521370834,118.5138249053273,97.30198780910511
6,259.25052543905923,0.0011493072792072366,-62.82231104115213,4.0,34.0,137.0,77.58294432125481,143.74919254786022,164.1577621736569,1.6631003200697068,3.0814675857901435,3.5189541876943284,1.282676559102491,2.3766012141477404,2.7140155014352207,854348.9705885551,714733.3681097869,1140030.5218324754,6.301480735676296,7.970445775256146,8.63471958259691,90.99529642088152,74.96317771659672,112.41881645636329
7,259.2924500306952,0.020295405965808016,-62.82669301262865,26.0,14.0,44.0,212.82200886732585,225.46036201910889,316.6127342571325,4.562141256195663,4.8330622602355415,6.787042490947651,3.5185800748275358,3.727529599433423,5.234549115116667,958963.2228566412,5437594.683773956,1069232.7639113145,2.4656822284721973,4.077380243273714,3.7405497715647056,129.16467385420282,113.78818753449377,129.8372397977912
8,259.28198504407226,0.015517311936758631,-62.82462140515075,69.0,9.0,31.0,106.85388939551426,133.65011075280862,249.57211285535027,2.2905644946718957,2.8649794605623535,5.349931797529037,1.7666122415904153,2.209633388934351,4.126168473829604,301013.9559474302,729474.9136706908,504974.15440535924,5.238803471700505,4.151310425277063,5.054892842971499,66.77204909252919,85.1277974124686,144.78754402118795
9,259.2805433504817,0.014858837147680857,-62.82468221785473,8.0,54.0,45.0,133.65011075280862,177.61688081318437,188.08962764980274,2.8649794605623535,3.8074694627084784,4.031967627458038,2.209633388934351,2.936534717947757,3.109680336411543,1095105.6012088622,334705.4004006381,850108.0443341626,2.3048341885696235,3.6062690928478958,2.9430510722608587,99.32176917269219,91.58802260895527,73.62572994601749
10,259.2561002512654,0.0036954438273326617,-62.823645027898124,62.0,113.0,150.0,202.99673973280014,312.43938296454104,385.7692119955265,4.3515226932453,6.697580793777042,8.269509562387565,3.3561391863566827,5.165551219732066,6.377911147599227,501358.49928814353,633993.6536142747,399653.6223621752,2.3503724219912563,6.493849277952223,4.829283974006109,83.73741623691127,120.40815863720631,85.57944304555174
11,259.25619657616437,0.0037399078962793335,-62.81995153065508,176.0,175.0,1.0,183.27882698298671,206.6653217986014,269.6858853145456,3.928841299902804,4.430163946954004,5.781099004540187,3.03014350908661,3.4167917468145865,4.458708888146711,339599.96590329654,71400.2886321578,729513.6772011109,6.429457192472715,6.31352950058354,8.79854597396238,68.319151442627,50.7829595888211,76.51030145039411
12,259.2963774587405,0.022085397374052164,-62.83148675574505,24.0,13.0,18.0,324.25816433711975,403.97402362274994,519.0227211965833,6.9509331156762855,8.659755489619661,11.125987306839127,5.360950787979836,6.678890768073861,8.580987534628248,401882.0646298367,247964.05414038646,727153.6018804875,1.158577291043267,1.8211485412930777,3.112751368221175,58.5973504348597,64.49286775166455,90.5100846179693
13,259.2939206839756,0.0209647916236906,-62.82983163924876,18.0,24.0,41.0,119.2212192382672,132.8309949604763,315.9993142647691,2.555675730135217,2.8474205531462973,6.773892964404646,1.9710809457208145,2.196090971393909,5.224407460246863,727153.6018804875,401882.0646298367,989137.6441603256,3.112751368221175,1.158577291043267,6.582409326204483,90.5100846179693,58.5973504348597,97.30198780910511
14,259.291052058512,0.019656364024210858,-62.82760737026866,42.0,41.0,7.0,193.45064041251342,205.55800433712292,225.46036201910889,4.146888530751462,4.406427028476432,4.8330622602355415,3.1983138042946946,3.3984844994711234,3.727529599433423,1087607.948605457,989137.6441603256,740174.8711184154,2.6018225243097266,6.582409326204483,3.255083680174031,91.57745087254857,97.30198780910511,118.5138249053273
15,259.26159423523825,0.006205208237058671,-62.821310133613565,56.0,28.0,27.0,9.244162741473104,126.42898949687536,252.57876715723972,0.19816172418592373,2.7101844965780524,5.414383691892649,0.15283347339742195,2.090246801502598,4.175877401843334,39532.54466576196,99297.5755875032,271954.3369261623,1.8036111741097467,6.044394510550782,1.9108443670897466,118.27192490493907,89.00149856464193,67.1161205832258
16,259.24966226590715,0.0007550954377837889,-62.82060311753085,119.0,130.0,35.0,74.5782212195222,84.08938619949035,106.74918279868942,1.5986898237173106,1.802575119136387,2.288319960435456,1.2329995595647163,1.3902473731955711,1.7648811304743626,3313110.8405041485,17849705.944874212,3821224.563608272,8.17518848960253,14.743394637609077,11.597188108280985,96.41544510960219,89.70010182355409,105.42042497682992
17,259.2950619346607,0.02148272657821981,-62.83421120378583,12.0,24.0,57.0,563.9470908420931,765.9137557730472,813.9728892897814,12.089004812684266,16.418446393287695,17.448662003602657,9.323720829695578,12.662829819351053,13.457390074211132,1038677.727401999,401882.0646298367,1064894.5374424101,2.13799886233593,1.158577291043267,4.519895842122245,76.21309330166844,58.5973504348597,104.81011241679731
18,259.29354604418285,0.020794117312738863,-62.829266984447386,13.0,41.0,24.0,119.2212192382672,202.09926937604018,244.66025541157384,2.555675730135217,4.332284144739071,5.244639174796706,1.9710809457208145,3.3413013350843905,4.044960877754148,247964.05414038646,989137.6441603256,401882.0646298367,1.8211485412930777,6.582409326204483,1.158577291043267,64.49286775166455,97.30198780910511,58.5973504348597
19,259.28457353614795,0.016697765498470074,-62.827706246231664,59.0,43.0,29.0,89.03054714338906,158.21302763244086,256.9280749297047,1.9084959039068947,3.3915203811441783,5.507617265479599,1.4719394431851769,2.615731378387113,4.2477843805854985,866151.291220143,652925.0615837775,78084.83499013931,5.136656919191293,2.3188165500832794,0.914416682806778,82.96762319721645,85.26082072600724,72.2857519551287
20,259.28080861691654,0.01497920547986279,-62.82621923721175,83.0,60.0,100.0,147.61316242202705,196.1297332987912,201.88686113073382,3.1642972539689787,4.204318682128746,4.3277308730909665,2.4404841155512926,3.2426071689633167,3.3377895957504666,670028.8542481642,439401.9620213265,520133.79756388796,3.3026226793566664,1.8083883491720913,3.4186701390160255,64.74273847749035,73.38585579790981,71.32719715633768
21,259.2969271523412,0.022341157432443803,-62.8252134180123,5.0,26.0,7.0,356.7977734674526,509.66697932674913,510.2724835485665,7.6484657349013805,10.925433725967254,10.938413566754663,5.898927198117197,8.426309326751023,8.436320110416911,2497964.2603508714,958963.2228566412,740174.8711184154,3.331280380667523,2.4656822284721973,3.255083680174031,131.94618343428493,129.16467385420282,118.5138249053273
22,259.2863960813559,0.017527168748720776,-62.832562260881346,57.0,36.0,82.0,77.26355995837733,145.6779298726057,255.84003281282898,1.6562538637928303,3.1228128027083395,5.48429354132017,1.2773961867321089,2.40848897216931,4.229795811953018,1064894.5374424101,3018343.4658172666,713051.6288111329,4.519895842122245,5.106099844628221,7.307499320966278,104.81011241679731,106.70616298318886,121.46451668470436
23,259.29020529062564,0.01926758936611131,-62.83078467509185,38.0,51.0,24.0,162.9892489973398,302.1323335830098,323.61714435831084,3.493905452375757,6.476634588713996,6.937191944324063,2.6946965071204656,4.995145072467817,5.350352823337892,798295.3572139334,1589030.0262853582,401882.0646298367,3.268568433179521,3.264488871170291,1.158577291043267,102.60001770395777,99.02825935138269,58.5973504348597
24,259.29364597021754,0.020838890668177942,-62.83047669157938,13.0,18.0,23.0,132.8309949604763,244.66025541157384,323.61714435831084,2.8474205531462973,5.244639174796706,6.937191944324063,2.196090971393909,4.044960877754148,5.350352823337892,247964.05414038646,727153.6018804875,1693147.1540028844,1.8211485412930777,3.112751368221175,4.136505851557892,64.49286775166455,90.5100846179693,120.36960546432175
25,259.28635321999946,0.017509574757885643,-62.82924312260296,29.0,39.0,40.0,94.38026819801998,114.59078839517544,181.6323453470951,2.0231747534411317,2.456415885273971,3.8935466335351334,1.560386225587481,1.8945261674388076,3.0029222761490466,78084.83499013931,683812.6976694829,397885.2922348512,0.914416682806778,1.7052330154302044,2.4764511496016692,72.2857519551287,98.27976793262346,80.1854689295393
26,259.2915227966613,0.01987260504390341,-62.82572861653078,30.0,7.0,44.0,205.04620058930882,212.82200886732585,310.38160710004564,4.395455790090867,4.562141256195663,6.653469452955752,3.3900228630131966,3.5185800748275358,5.1315300712906575,2166158.655679031,740174.8711184154,1069232.7639113145,4.021299460827277,3.255083680174031,3.7405497715647056,106.52112878505264,118.5138249053273,129.8372397977912
