cloudnum,x,corr_x,y,nn_index,nn2_index,nn3_index,min_dist,min_dist2nd,min_dist3rd,mean_cloud_sep_nn,mean_cloud_sep_nn2,mean_cloud_sep_nn3,beam_sep_nn,beam_sep_nn2,beam_sep_nn3,MLUM_MSUN_nn,MLUM_MSUN_nn2,MLUM_MSUN_nn3,SIGV_KMS_nn,SIGV_KMS_nn2,SIGV_KMS_nn3,RAD_PC_nn,RAD_PC_nn2,RAD_PC_nn3
1,259.2816835250801,0.015462132725485628,-62.824698485348044,26.0,11.0,34.0,294.7670009048881,385.4719243658464,435.15714428163557,5.903569406938658,7.720200201969909,8.7152917263652,3.2751888989432074,4.283021381842744,4.8350793809070725,2906622.284741289,2201395.2077347143,1409533.2140947469,4.072286768771082,5.569132867427514,2.654579754199369,53.3076479353009,77.95971073070449,51.00609802898147
2,259.2505845865404,0.0012589026113324474,-62.822231948663024,5.0,23.0,104.0,85.14945741659751,155.9779817752351,247.79781466979802,1.7053663750653405,3.123914273095429,4.9628743831569615,0.9461050824066408,1.7330886863915038,2.7533090518866485,1080479.066069996,658504.5679216655,7030082.330688594,7.7351046230056015,7.678680135436043,12.936848748106534,55.658701584314734,61.325384850778974,51.213024617935766
3,259.24977874998314,0.0008908789281559297,-62.82076555282078,32.0,55.0,9.0,12.812262995897234,90.89241755789358,100.96940328326264,0.25660295631476443,1.8203859114834056,2.0222069581399875,0.14235847773219173,1.0099157506432637,1.12188225870292,2489690.315321517,14069510.01461352,2526112.836266746,3.6189121949796,11.505376933761195,3.805482162682564,53.61390975152712,50.61538604093411,84.69313759606517
4,259.2979554324868,0.02289195128161768,-62.82700762634014,15.0,10.0,19.0,174.1074243689015,385.4277859039155,624.3977489678889,3.48700926789559,7.719316200461179,12.505387093033535,1.9345269374322416,4.2825309544879575,6.937752766309887,693711.816505717,1573729.3321976194,1395711.9285600414,2.1549717927986944,3.661624933524585,4.342763262868341,,37.35230555706303,
5,259.2498813829551,0.0009377211093067881,-62.821959295380594,2.0,23.0,104.0,85.14945741659751,138.66995539121478,162.71751436636015,1.7053663750653405,2.777270535019201,3.258893081102741,0.9461050824066408,1.5407772821246115,1.8079723818484488,850567.6444020037,658504.5679216655,7030082.330688594,6.524337932338455,7.678680135436043,12.936848748106534,,61.325384850778974,51.213024617935766
6,259.29514628832317,0.02160372915000899,-62.83428380765432,7.0,12.0,42.0,580.334420725187,899.9704659457198,965.9477700904556,11.62289035566826,18.02453494996147,19.34592300596991,6.448160230279868,9.999671843841348,10.73275300100508,411756.0813467179,1930076.8143467847,1209784.5129755347,,7.375911734279726,4.994925449589461,,44.60716070480968,29.900524530491424
7,259.2964300269797,0.022191961139401903,-62.831473314440366,6.0,17.0,19.0,580.334420725187,730.2708769235039,749.5290383713351,11.62289035566826,14.625805448198562,15.011506331975527,6.448160230279868,8.114120854705613,8.328100426348183,1495894.1218876694,2470171.015996616,1395711.9285600414,2.453139108261003,3.044900187454265,4.342763262868341,28.48420867217375,57.08343204744457,
8,259.29101091061483,0.019720123033717868,-62.82762434973653,19.0,20.0,17.0,175.6845729004806,268.1403147103194,294.52052400561155,3.518596269807765,5.370292311660503,5.898632987741058,1.9520508100053435,2.979336830114665,3.272450266729023,1395711.9285600414,1246092.3440725894,2470171.015996616,4.342763262868341,3.2043919004663612,3.044900187454265,,68.03106931386985,57.08343204744457
9,259.25068518067525,0.0013049267035704106,-62.82048601165749,40.0,32.0,3.0,57.3017570299069,99.62554492713836,100.96940328326264,1.147634907323782,1.9952922727982791,2.0222069581399875,0.6366861892211888,1.106950499190428,1.12188225870292,4926723.258658262,2489690.315321517,7080111.321612504,8.559328923179425,3.6189121949796,8.782123820650172,60.23265115163549,53.61390975152712,79.93457159163398
10,259.2968834758562,0.022403815736065803,-62.825164129682996,15.0,4.0,13.0,231.9675270471932,385.4277859039155,621.5385361819774,4.645826676239444,7.719316200461179,12.448123013000775,2.57741696719104,4.2825309544879575,6.905983735355316,693711.816505717,1877073.539153062,1136701.0012698488,2.1549717927986944,2.0163460962248436,3.788821552355607,,50.37876934821059,
