,Unnamed: 0,Unnamed: 0.1,cloudnum,RGAL_KPC,x,corr_x,y,nn_index,nn2_index,nn3_index,min_dist,min_dist2nd,min_dist3rd,mean_cloud_sep_nn,mean_cloud_sep_nn2,mean_cloud_sep_nn3,beam_sep_nn,beam_sep_nn2,beam_sep_nn3,MLUM_MSUN_nn,MLUM_MSUN_nn2,MLUM_MSUN_nn3,SIGV_KMS_nn,SIGV_KMS_nn2,SIGV_KMS_nn3,RAD_PC_nn,RAD_PC_nn2,RAD_PC_nn3,RAD_NODC_nn,RAD_NODC_nn2,RAD_NODC_nn3,clouds_r400pc,nn_dist,nn3_dist,nn5_dist,clouds_r100pc,clouds_r200pc,clouds_r600pc,clouds_r800pc,clouds_r1000pc,clouds_r1500pc
0,0,0,1,1.2944725586568602,52.88896377599133,0.0057675973958201,-51.90270771216466,2.0,6.0,5.0,147.06616941195634,275.50750721332247,371.1966143448757,2.881256709774389,5.397623783400627,7.272323335836877,1.2255514117663031,2.295895893444356,3.0933051195406325,2551262.6791328858,1243972.541704902,135775.52273099415,6.135256010515438,2.7352519257031265,,,,,153.78053110890684,95.87833722312364,51.94311289915753,3,156.8705830436388,395.94306120018143,529.4061992343485,0,1,6,9,11,27
1,1,1,2,1.195035358900253,52.88826954160096,0.0053391895616676,-51.9032640721641,6.0,1.0,5.0,134.73919505096774,147.06616941195634,229.69427236310003,2.6397519658157305,2.881256709774389,4.5000707238732485,1.1228266254247317,1.2255514117663031,1.9141189363591675,1243972.541704902,4925670.480947309,135775.52273099415,2.7352519257031265,5.018137386174807,,,124.71201305236708,,95.87833722312364,225.0690754690077,51.94311289915753,5,143.72181019598474,245.00722750401232,378.48543193477224,0,2,7,10,13,30
2,2,2,3,0.8786472456237444,52.885025509589845,0.0033377105327433,-51.902461036943166,10.0,8.0,5.0,145.99484111283408,263.498795860182,367.3566142508666,2.860267709635476,5.162354310480182,7.197091716759304,1.2166236759402849,2.1958232988348505,3.061305118757223,2638425.8195712366,1071793.573667036,135775.52273099415,4.300070455391202,2.1704536828181324,,,,,142.2053907429105,90.98731057574643,51.94311289915753,3,155.72783283954388,391.84706103990334,481.78183614662515,0,1,7,11,24,39
3,3,3,4,1.2080567622051408,52.88738504624023,0.0047932926990975,-51.90486790274808,7.0,9.0,6.0,187.5745948204691,197.73817748444733,221.08706735478387,3.67488023976336,3.8740007503677054,4.331442090369189,1.5631216235039098,1.6478181457037284,1.8423922279565328,200815.6841464816,1056479.1945622915,1243972.541704902,2.8966077991505514,2.9800464518690464,2.7352519257031265,,23.11400671725256,,89.26590930968892,107.42141764215172,95.87833722312364,6,200.07957078893293,235.8262086925186,317.55195771896757,0,0,8,14,19,38
4,4,4,5,0.995615592651918,52.886765319857815,0.0044110408494327,-51.90384829078766,7.0,6.0,4.0,117.04678531584683,163.62567632279283,228.06078077754967,2.2931299353023658,3.2056833987143416,4.468068064049811,0.9753898776320574,1.363547302689941,1.9005065064795823,200815.6841464816,1243972.541704902,2151328.476116639,2.8966077991505514,2.7352519257031265,4.208436974105365,,,48.35437386849972,89.26590930968892,95.87833722312364,125.01256174821404,7,124.84990619992618,243.2648364558039,365.43308823261776,0,2,11,14,18,38
5,5,5,6,1.1886399838795028,52.88802975973624,0.0051911739459474,-51.90389014546976,2.0,5.0,4.0,134.73919505096774,163.62567632279283,221.08706735478387,2.6397519658157305,3.2056833987143416,4.331442090369189,1.1228266254247317,1.363547302689941,1.8423922279565328,2551262.6791328858,135775.52273099415,2151328.476116639,6.135256010515438,,4.208436974105365,,,48.35437386849972,153.78053110890684,51.94311289915753,125.01256174821404,5,143.72181019598474,235.8262086925186,293.87467873994484,0,2,8,11,14,32
6,6,6,7,0.9538080748138044,52.88625139703591,0.0040939172554233,-51.90430845818521,5.0,4.0,9.0,117.04678531584683,187.5745948204691,237.71160212989747,2.2931299353023658,3.67488023976336,4.657142777068244,0.9753898776320574,1.5631216235039098,1.9809300177491465,135775.52273099415,2151328.476116639,1056479.1945622915,,4.208436974105365,2.9800464518690464,,48.35437386849972,23.11400671725256,51.94311289915753,125.01256174821404,107.42141764215172,6,124.84990619992618,253.55904604862855,338.29628955500397,0,1,13,15,23,40
7,7,7,8,0.6115334722542264,52.88332869893981,0.0022907392675858,-51.90315867739329,10.0,3.0,7.0,225.416063705495,263.498795860182,447.89934349256737,4.4162539123670586,5.162354310480182,8.775049992133585,1.8784671975457925,2.1958232988348505,3.73249452910473,2638425.8195712366,3329228.6387068,200815.6841464816,4.300070455391202,6.326209768989025,2.8966077991505514,,63.44898228545098,,142.2053907429105,141.77066375640192,89.26590930968892,2,240.44380486582347,477.75930684628787,511.10040937764614,0,0,8,25,33,43
8,8,8,9,1.1271427816405175,52.886170708226224,0.004044032052218,-51.90544235066992,11.0,4.0,7.0,100.27750273646473,197.73817748444733,237.71160212989747,1.964593412299548,3.8740007503677054,4.657142777068244,0.8356458561372065,1.6478181457037284,1.9809300177491465,1621162.8837600974,2151328.476116639,200815.6841464816,3.844783407938252,4.208436974105365,2.8966077991505514,,48.35437386849972,,106.48548163963004,125.01256174821404,89.26590930968892,5,106.96267118160819,253.55904604862855,365.43308823261776,0,1,10,18,21,41
9,9,9,10,0.8844816210632481,52.88400201946347,0.0027062327870915,-51.90216582846679,3.0,8.0,5.0,145.99484111283408,225.416063705495,501.6524420419991,2.860267709635476,4.4162539123670586,9.828157423203471,1.2166236759402849,1.8784671975457925,4.1804370170166605,3329228.6387068,1071793.573667036,135775.52273099415,6.326209768989025,2.1704536828181324,,63.44898228545098,,,141.77066375640192,90.98731057574643,51.94311289915753,2,155.72783283954388,535.0959461494617,637.326844632676,0,1,4,14,25,39
