cloudnum,RGAL_KPC,x,corr_x,y,nn_index,nn2_index,nn3_index,min_dist,min_dist2nd,min_dist3rd,mean_cloud_sep_nn,mean_cloud_sep_nn2,mean_cloud_sep_nn3,beam_sep_nn,beam_sep_nn2,beam_sep_nn3,MLUM_MSUN_nn,MLUM_MSUN_nn2,MLUM_MSUN_nn3,SIGV_KMS_nn,SIGV_KMS_nn2,SIGV_KMS_nn3,RAD_PC_nn,RAD_PC_nn2,RAD_PC_nn3,RAD_NODC_nn,RAD_NODC_nn2,RAD_NODC_nn3
1,2.8133839837123227,344.85253843131983,-0.007331391399823355,-37.71120823973481,3.0,2.0,6.0,1342.026595207999,1391.266065240908,1822.7820138753,18.03924034189629,18.701106982544765,24.50145396268097,8.946843968053328,9.275107101606054,12.151880092502005,1626037.3736543942,2867468.5848173895,1478565.2204128574,3.6206688158190308,5.608798690510362,3.538856010600288,,,,126.77259641188586,125.79378166164288,168.62702885891437
2,2.301055635759027,344.8593944673203,-0.001907592691295343,-37.70973030004993,3.0,8.0,6.0,194.6792291338061,638.639496625221,1102.3164201754294,2.616837413252252,8.584458320413885,14.817106387732473,1.2978615275587078,4.2575966441681405,7.348776134502863,1626037.3736543942,1403876.9801422632,1478565.2204128574,3.6206688158190308,2.7631367522450487,3.538856010600288,,54.1983981652391,,126.77259641188586,150.67458355365022,168.62702885891437
3,2.0417474890812475,344.8588412213153,-0.0023452971719991693,-37.70907670328185,2.0,8.0,6.0,194.6792291338061,714.0880213493498,924.3583348510416,2.616837413252252,9.5986215834967,12.425031086532671,1.2978615275587078,4.760586808995665,6.1623888990069435,2867468.5848173895,1403876.9801422632,1478565.2204128574,5.608798690510362,2.7631367522450487,3.538856010600288,,54.1983981652391,,125.79378166164288,150.67458355365022,168.62702885891437
4,3.4866404623010787,344.8502945142074,-0.009108065378646555,-37.69898101865715,10.0,5.0,6.0,22.96782352195144,2210.643036544841,2216.5026720817527,0.30872867208605925,29.715000573584838,29.793764566894442,0.1531188234796763,14.737620243632277,14.776684480545018,620762.9362001359,1907641.208141673,1478565.2204128574,4.042721972197124,,3.538856010600288,,,,93.07403069431298,128.61129186833884,168.62702885891437
5,0.7395366377193197,344.85867466966886,-0.002477198016644993,-37.704965850344976,12.0,6.0,11.0,132.8965973399653,134.51995870306308,193.1292134622917,1.7863682199712936,1.8081891033243025,2.5960024273197853,0.8859773155997688,0.8967997246870874,1.2875280897486114,187536.58901444697,1478565.2204128574,702788.2139816184,,3.538856010600288,6.235912953773148,,,95.01171154912296,94.8830880599291,168.62702885891437,196.47180124603986
6,0.8792425382629615,344.85822110826234,-0.0028360268128324105,-37.705374114736856,5.0,12.0,11.0,134.51995870306308,239.8503840540212,327.51482124767534,1.8081891033243025,3.2240186144567615,4.40238561375479,0.8967997246870874,1.5990025603601417,2.1834321416511697,1907641.208141673,187536.58901444697,702788.2139816184,,,6.235912953773148,,,95.01171154912296,128.61129186833884,94.8830880599291,196.47180124603986
7,0.20496248347981494,344.8604111588315,-0.0011033623147313832,-37.703397453499626,9.0,14.0,11.0,83.89116823073441,136.68264066647922,323.43956634819835,1.1276475083879562,1.8372594212006041,4.347606891150741,0.5592744548715628,0.9112176044431948,2.156263775654656,3131988.5066176113,4022495.270157044,702788.2139816184,,6.419917525902724,6.235912953773148,80.02981043018484,63.63308076980877,95.01171154912296,204.36988945718556,162.6276561027686,196.47180124603986
8,2.3145630744399894,344.8624812202559,0.0005344042821017153,-37.708896286270026,2.0,3.0,12.0,638.639496625221,714.0880213493498,1142.1836585613087,8.584458320413885,9.5986215834967,15.352993454038405,4.2575966441681405,4.760586808995665,7.61455772374206,2867468.5848173895,1626037.3736543942,187536.58901444697,5.608798690510362,3.6206688158190308,,,,,125.79378166164288,126.77259641188586,94.8830880599291
9,0.1526103215885747,344.86082705296815,-0.0007743130186314161,-37.70331604129459,14.0,7.0,13.0,52.84866550064182,83.89116823073441,336.8274921244464,0.7103806900092037,1.1276475083879562,4.527564584701348,0.35232443667094554,0.5592744548715628,2.2455166141629763,4022495.270157044,4402830.611683264,19298117.04763498,6.419917525902724,3.387530563261461,10.666079269087836,63.63308076980877,120.5444891265462,99.20210809547412,162.6276561027686,233.9583382227997,209.15963233108715
10,3.451024288415286,344.8503701638517,-0.00904820012202043,-37.699051932091656,4.0,5.0,6.0,22.96782352195144,2187.8877625380414,2193.5996074989835,0.30872867208605925,29.409128947552915,29.48590637090205,0.1531188234796763,14.585918416920281,14.62399738332656,1949786.4669592401,1907641.208141673,1478565.2204128574,2.537266357825943,,3.538856010600288,,,,122.0098896164216,128.61129186833884,168.62702885891437
11,0.5424649230178771,344.8593678358385,-0.0019287998190081052,-37.704410675271056,12.0,5.0,7.0,146.2451201502913,193.1292134622917,323.43956634819835,1.965796267108791,2.5960024273197853,4.347606891150741,0.974967467668609,1.2875280897486114,2.156263775654656,187536.58901444697,1907641.208141673,4402830.611683264,,,3.387530563261461,,,120.5444891265462,94.8830880599291,128.61129186833884,233.9583382227997
12,0.7032240739084229,344.8593518937301,-0.0019413973654543038,-37.70500145973223,5.0,11.0,6.0,132.8965973399653,146.2451201502913,239.8503840540212,1.7863682199712936,1.965796267108791,3.2240186144567615,0.8859773155997688,0.974967467668609,1.5990025603601417,1907641.208141673,702788.2139816184,1478565.2204128574,,6.235912953773148,3.538856010600288,,95.01171154912296,,128.61129186833884,196.47180124603986,168.62702885891437
13,0.20845578967053013,344.8619108345878,8.31633299355614e-05,-37.702259149874344,14.0,9.0,7.0,294.29299604040625,336.8274921244464,406.9331588297937,3.9558247991999096,4.527564584701348,5.469910269609797,1.961953306936042,2.2455166141629763,2.7128877255319583,4022495.270157044,3131988.5066176113,4402830.611683264,6.419917525902724,,3.387530563261461,63.63308076980877,80.02981043018484,120.5444891265462,162.6276561027686,204.36988945718556,233.9583382227997
14,0.1381398883106803,344.8610847420053,-0.0005704329975441183,-37.70325253919854,9.0,7.0,13.0,52.84866550064182,136.68264066647922,294.29299604040625,0.7103806900092037,1.8372594212006041,3.9558247991999096,0.35232443667094554,0.9112176044431948,1.961953306936042,3131988.5066176113,4402830.611683264,19298117.04763498,,3.387530563261461,10.666079269087836,80.02981043018484,120.5444891265462,99.20210809547412,204.36988945718556,233.9583382227997,209.15963233108715
15,1.3687232146249837,344.8626749698669,0.0006877799987869496,-37.6986721379602,16.0,13.0,14.0,248.63773830007355,900.264023438192,1175.5841391810902,3.342136389305592,12.101160400213285,15.801955717220455,1.6575849220004906,6.0017601562546155,7.837227594540602,755262.7358685522,19298117.04763498,4022495.270157044,1.8865741837259986,10.666079269087836,6.419917525902724,,99.20210809547412,63.63308076980877,130.81224499488386,209.15963233108715,162.6276561027686
