cloudnum,x,corr_x,y,nn_index,nn2_index,nn3_index,min_dist,min_dist2nd,min_dist3rd,mean_cloud_sep_nn,mean_cloud_sep_nn2,mean_cloud_sep_nn3,beam_sep_nn,beam_sep_nn2,beam_sep_nn3,RGAL_KPC_nn,RGAL_KPC_nn2,RGAL_KPC_nn3,MLUM_MSUN_nn,MLUM_MSUN_nn2,MLUM_MSUN_nn3,SIGV_KMS_nn,SIGV_KMS_nn2,SIGV_KMS_nn3,RAD_PC_nn,RAD_PC_nn2,RAD_PC_nn3,RAD_NODC_nn,RAD_NODC_nn2,RAD_NODC_nn3
1,139.47353107943854,0.00358778671647194,-22.340110168487787,5.0,2.0,3.0,494.0580348367836,515.4876369669232,537.507458005163,10.416986465918603,10.86881977216861,11.333097572676545,5.489533720408709,5.727640410743594,5.972305088946259,2.7457544542322925,2.8838109013550177,2.8644195345273507,585706.5284825901,3132005.6319593657,218003.56331682403,6.067501008254831,7.433962310116743,4.56041203245436,,86.07373914873637,,100.67208718011877,161.40226507024423,81.3999162000723
2,139.47457962636793,0.004557562495272395,-22.34228989666893,5.0,13.0,1.0,300.02316778709996,359.5066243008225,515.4876369669232,6.325850523476922,7.580031849875567,10.86881977216861,3.333590753190002,3.9945180477869187,5.727640410743594,2.7457544542322925,2.5445678748983203,3.244930329915737,585706.5284825901,1594738.0817117547,940224.1630154189,6.067501008254831,2.369927667236847,1.8130208658310454,,55.14808651235377,,100.67208718011877,126.34318003669351,92.34388851425125
3,139.47126307510493,0.0014899957635084984,-22.34144717853755,6.0,8.0,5.0,180.56247716871738,240.731275756618,413.0908497331478,3.8070767972443633,5.0757082461141385,8.709830601756337,2.006249746319083,2.674791952851312,4.589898330368311,2.6840363230563615,2.637182544518372,2.7457544542322925,935698.7791402821,627122.7107595841,585706.5284825901,3.2893293118493445,1.7251620136380632,6.067501008254831,,,,89.59293360447742,101.13817632887263,100.67208718011877
4,139.4680262913856,-0.0015037865240451426,-22.34443237648497,7.0,16.0,11.0,230.01755528445287,258.62530032630247,643.182835514998,4.849814376793606,5.452995525380426,13.561214311359794,2.5557506142717,2.8736144480700294,7.146475950166647,2.2813416138369056,2.220251852961117,1.7991276407801815,377578.69742705504,365108.1145904159,746440.4365800174,3.2654280621215297,4.273003345304969,3.039842649672194,,,,73.33490825842895,59.63199488040744,95.73201506006559
5,139.47308022042338,0.0031707163117153147,-22.342358355550328,13.0,2.0,6.0,220.2213071131048,300.02316778709996,368.0310412622214,4.6432649890249715,6.325850523476922,7.759765261449523,2.446903412367832,3.333590753190002,4.089233791802462,2.5445678748983203,2.8838109013550177,2.6840363230563615,1594738.0817117547,3132005.6319593657,935698.7791402821,2.369927667236847,7.433962310116743,3.2893293118493445,55.14808651235377,86.07373914873637,,126.34318003669351,161.40226507024423,89.59293360447742
6,139.47124051603632,0.0014691212883060506,-22.342282577534913,8.0,3.0,5.0,98.28055949634657,180.56247716871738,368.0310412622214,2.072200401466131,3.8070767972443633,7.759765261449523,1.0920062166260742,2.006249746319083,4.089233791802462,2.637182544518372,2.8644195345273507,2.7457544542322925,627122.7107595841,218003.56331682403,585706.5284825901,1.7251620136380632,4.56041203245436,6.067501008254831,,,,101.13817632887263,81.3999162000723,100.67208718011877
7,139.46706010446886,-0.0023974175155781203,-22.345010886803983,16.0,4.0,17.0,60.70862676935658,230.01755528445287,633.4698437360906,1.2800134778291998,4.849814376793606,13.356420346339304,0.6745402974372956,2.5557506142717,7.038553819289899,2.220251852961117,2.3102927299365925,1.8742537957342496,365108.1145904159,3119474.5675405245,2328056.5875725397,4.273003345304969,4.574013812547627,2.8693732350241197,,69.79643222915931,81.9806999377067,59.63199488040744,148.69224594613434,159.99441579365256
8,139.47079411713523,0.0010562323573196446,-22.34247339837145,6.0,3.0,5.0,98.28055949634657,240.731275756618,457.55598870412797,2.072200401466131,5.0757082461141385,9.647357609122807,1.0920062166260742,2.674791952851312,5.083955430045868,2.6840363230563615,2.8644195345273507,2.7457544542322925,935698.7791402821,218003.56331682403,585706.5284825901,3.2893293118493445,4.56041203245436,6.067501008254831,,,,89.59293360447742,81.3999162000723,100.67208718011877
9,139.4828831938435,0.012237701159799169,-22.34314357421091,14.0,15.0,10.0,102.74921481604916,274.02373616118945,561.5383842048167,2.1664199439163916,5.777664463800432,11.839778600681644,1.1416579424005469,3.0447081795687723,6.2393153800535215,4.207152009507697,4.297613592193793,3.7963301994519436,759442.3271885896,256802.5349571447,644948.3394092034,2.075437602887041,1.676204330083068,,,,20.57260048179229,72.5428936858379,63.04839421923602,81.49525711705006
10,139.48038529411943,0.009927419195928796,-22.341953353495526,15.0,14.0,9.0,504.58987155531304,544.3727033128401,561.5383842048167,10.63904539993519,11.477848112922105,11.839778600681644,5.60655412839237,6.048585592364893,6.2393153800535215,4.297613592193793,4.207152009507697,4.123417390310008,256802.5349571447,759442.3271885896,540437.6312338187,1.676204330083068,2.075437602887041,3.3752172925391264,,,,63.04839421923602,72.5428936858379,78.08631896342072
11,139.47049001141062,0.0007749348665688523,-22.346347638164158,12.0,4.0,16.0,632.5381010449547,643.182835514998,711.5303033468563,13.336774980169947,13.561214311359794,15.002289240177586,7.028201122721724,7.146475950166647,7.905892259409517,1.9627307018539029,2.3102927299365925,2.220251852961117,664002.7933942452,3119474.5675405245,365108.1145904159,2.198795556443148,4.574013812547627,4.273003345304969,,69.79643222915931,,73.58057706082201,148.69224594613434,59.63199488040744
12,139.47365285626907,0.003700254916864168,-22.34645914627208,11.0,13.0,5.0,632.5381010449547,673.2123196191066,893.4220095251094,13.336774980169947,14.194372174270287,18.837392219825823,7.028201122721724,7.480136884656741,9.926911216945664,1.7991276407801815,2.5445678748983203,2.7457544542322925,746440.4365800174,1594738.0817117547,585706.5284825901,3.039842649672194,2.369927667236847,6.067501008254831,,55.14808651235377,,95.73201506006559,126.34318003669351,100.67208718011877
13,139.4732116176977,0.003292225554564987,-22.34337029095132,5.0,2.0,6.0,220.2213071131048,359.5066243008225,458.70511960408516,4.6432649890249715,7.580031849875567,9.671586505706543,2.446903412367832,3.9945180477869187,5.096723551156504,2.7457544542322925,2.8838109013550177,2.6840363230563615,585706.5284825901,3132005.6319593657,935698.7791402821,6.067501008254831,7.433962310116743,3.2893293118493445,,86.07373914873637,,100.67208718011877,161.40226507024423,89.59293360447742
14,139.4829937619605,0.012340009342844696,-22.342679177292414,9.0,15.0,10.0,102.74921481604916,174.46131070406102,544.3727033128401,2.1664199439163916,3.6784365080329176,11.477848112922105,1.1416579424005469,1.938459007822901,6.048585592364893,4.123417390310008,4.297613592193793,3.7963301994519436,540437.6312338187,256802.5349571447,644948.3394092034,3.3752172925391264,1.676204330083068,,,,20.57260048179229,78.08631896342072,63.04839421923602,81.49525711705006
15,139.48290870916608,0.012261412411140107,-22.34187558882937,14.0,9.0,10.0,174.46131070406102,274.02373616118945,504.58987155531304,3.6784365080329176,5.777664463800432,10.63904539993519,1.938459007822901,3.0447081795687723,5.60655412839237,4.207152009507697,4.123417390310008,3.7963301994519436,759442.3271885896,540437.6312338187,644948.3394092034,2.075437602887041,3.3752172925391264,,,,20.57260048179229,72.5428936858379,78.08631896342072,81.49525711705006
16,139.46711957330558,-0.002342409484071741,-22.345286414496798,7.0,4.0,17.0,60.70862676935658,258.62530032630247,580.3583177040501,1.2800134778291998,5.452995525380426,12.236588243936955,0.6745402974372956,2.8736144480700294,6.448425752267228,2.2813416138369056,2.3102927299365925,1.8742537957342496,377578.69742705504,3119474.5675405245,2328056.5875725397,3.2654280621215297,4.574013812547627,2.8693732350241197,,69.79643222915931,81.9806999377067,73.33490825842895,148.69224594613434,159.99441579365256
17,139.46616921073104,-0.0032213502048248593,-22.347824484567102,20.0,24.0,16.0,244.1689316569519,558.2615440821423,580.3583177040501,5.148189639924674,11.770687933589963,12.236588243936955,2.7129881295216887,6.202906045357139,6.448425752267228,1.6995598346770366,1.860869959513028,2.220251852961117,683778.1646057023,291125.13777190563,365108.1145904159,,,4.273003345304969,58.00532814482846,14.115980253400828,,125.73099986563619,82.63766790144517,59.63199488040744
18,139.4584607884477,-0.010351002528281273,-22.34527836183328,26.0,19.0,24.0,715.6828327089837,1471.1043832156547,1593.8365519052459,15.089843412186756,31.017559414803532,33.60531075173843,7.952031474544269,16.345604257951727,17.70929502116941,4.083250719843434,2.1013878297951494,1.860869959513028,1290952.7759945316,983131.2604508048,291125.13777190563,3.575562865017099,3.4289772396180345,,,,14.115980253400828,85.83188037380928,70.00631289797539,82.63766790144517
19,139.46340756342266,-0.0057754741221233905,-22.35032008157156,24.0,23.0,25.0,252.64259805982087,347.1696572531262,404.8811348235202,5.326852999310288,7.319912572979701,8.5367325382244,2.807139978442456,3.857440636145848,4.498679275816894,1.860869959513028,1.6935659527022844,1.627985960279567,291125.13777190563,626995.6949654426,923845.532450378,,2.5198665948364,5.260200942097164,14.115980253400828,24.668360822698265,56.2321791962045,82.63766790144517,89.42704959972744,140.59164585148935
20,139.4660985161896,-0.003286708462308643,-22.348952629190656,17.0,23.0,24.0,244.1689316569519,363.1677546667338,369.32395692111015,5.148189639924674,7.65722510002534,7.787025793554151,2.7129881295216887,4.035197274074822,4.10359952134567,1.8742537957342496,1.6935659527022844,1.860869959513028,2328056.5875725397,626995.6949654426,291125.13777190563,2.8693732350241197,2.5198665948364,,81.9806999377067,24.668360822698265,14.115980253400828,159.99441579365256,89.42704959972744,82.63766790144517
21,139.46877356925307,-0.0008125703920910145,-22.352577605247184,32.0,34.0,31.0,70.31105456734021,121.95877403272631,280.315886477074,1.4824762521561092,2.5714446662498616,5.910331559688768,0.7812339396371137,1.3550974892525154,3.114620960856379,0.5927200360579888,0.6158240780697442,0.357188773714934,876592.5262875133,970467.1079593147,739124.82585564,4.944346482975866,4.5708519948033715,4.018065056395995,20.400505989420697,40.65482584886102,40.19292930641785,94.46083687953899,103.48567961572317,103.38920804129046
22,139.48333556677622,0.012655406385525366,-22.350910178418307,29.0,40.0,35.0,375.37954920809904,588.3125312664595,733.9206962268797,7.91470517218732,12.404299179058206,15.474380377557544,4.170883880089991,6.536805902960664,8.15467440252089,3.1352405908763035,3.130430978480325,3.49394925909275,3694206.6155893207,2054643.4219948114,408859.7326105082,5.387736935102986,4.000612116138146,,41.896335242851016,49.25191232085836,28.28068132568865,101.92004980998763,112.02371432314953,92.60850052156144
23,139.46514348647668,-0.004169958500049994,-22.350382618656624,24.0,25.0,19.0,138.23424717051228,273.2869366233404,347.1696572531262,2.9146055328851896,5.762129384371143,7.319912572979701,1.5359360796723591,3.0365215180371163,3.857440636145848,1.860869959513028,1.627985960279567,2.1013878297951494,291125.13777190563,923845.532450378,983131.2604508048,,5.260200942097164,3.4289772396180345,14.115980253400828,56.2321791962045,,82.63766790144517,140.59164585148935,70.00631289797539
24,139.46461409593763,-0.004659592707770157,-22.349970851439128,23.0,19.0,25.0,138.23424717051228,252.64259805982087,360.0888171067675,2.9146055328851896,5.326852999310288,7.592307117460454,1.5359360796723591,2.807139978442456,4.000986856741863,1.6935659527022844,2.1013878297951494,1.627985960279567,626995.6949654426,983131.2604508048,923845.532450378,2.5198665948364,3.4289772396180345,5.260200942097164,24.668360822698265,,56.2321791962045,89.42704959972744,70.00631289797539,140.59164585148935
25,139.4648656579229,-0.004426876031930285,-22.351621047116236,23.0,24.0,19.0,273.2869366233404,360.0888171067675,404.8811348235202,5.762129384371143,7.592307117460454,8.5367325382244,3.0365215180371163,4.000986856741863,4.498679275816894,1.6935659527022844,1.860869959513028,2.1013878297951494,626995.6949654426,291125.13777190563,983131.2604508048,2.5198665948364,,3.4289772396180345,24.668360822698265,14.115980253400828,,89.42704959972744,82.63766790144517,70.00631289797539
