cloudnum,x,corr_x,y,nearest_neighbor,nearest_neighbor_corr,min_distance,min_distance_corr,true_dist,true_dist_corr,nearest_neighbor2,nearest_neighbor2_corr,min_distance2,min_distance_corr2,true_dist2_corr,nearest_neighbor3,nearest_neighbor3_corr,min_distance3,min_distance_corr3,true_dist3_corr
1,169.55976146143124,-166.7526064502104,-32.820825752910956,8.0,8.0,135.9123649226022,139.79296017599034,16747154.794490786,17225322.689224035,11.0,11.0,140.60126781809166,199.63312716384755,24598842.67796469,139.0,139.0,206.8558526519283,207.48925671751653,25566876.87997267
2,169.5782391100718,-166.78067957250622,-32.8154522491546,170.0,170.0,47.490219794305474,67.94422049191273,5851756.479791499,8372103.44045634,13.0,13.0,204.666673786512,294.69832592455157,36312799.68343052,146.0,152.0,305.0870705652561,367.81424299725757,45322160.83945973
3,169.5502243208385,-166.7381107154176,-32.823906313757206,130.0,130.0,351.16130548684714,445.91526327354956,43270181.81291094,54945787.62955769,129.0,129.0,378.9040512032148,567.727265857032,69955492.33342485,124.0,124.0,574.3492125524546,688.1093701520532,84789004.62101793
4,169.56180130021883,-166.7557063263489,-32.82048890638636,148.0,148.0,138.8576252403079,206.62176455990502,17110070.490047827,25459984.284477036,11.0,11.0,167.1396614823297,221.85812119872554,27337411.870110642,12.0,12.0,218.80639822327933,330.9929834759715,40785036.24978565
5,169.58199750724881,-166.78638785274794,-32.81483797679358,137.0,137.0,115.07255022588947,115.90170892048128,14179267.738643434,14281436.87546505,9.0,9.0,121.2713463185753,181.35792773396676,22346968.141555194,140.0,140.0,213.44763698925846,238.60809271319238,29401347.450334202
6,169.57085713665654,-166.7694659496913,-32.818266841740474,176.0,184.0,152.13656349691237,224.06677133751083,18746304.50463864,27609562.27954671,184.0,176.0,187.7651252595255,230.332821988637,28381666.570898637,172.0,147.0,372.5361273714419,453.6536365804109,55899311.878078885
7,169.5892631174391,-166.79742113099869,-32.812133999771106,14.0,14.0,189.70678016437395,282.5452750398224,23375715.776753895,34815297.785735,121.0,121.0,258.8516094788874,386.00216684333566,47563281.25712105,122.0,122.0,319.0882726918495,431.9459548700837,53224486.036887676
8,169.55952949241987,-166.75225392279003,-32.8219040882836,1.0,1.0,135.9123649226022,139.79296017599034,16747154.794490786,17225322.689224035,11.0,11.0,166.22913427097242,240.9519765718411,29690161.39175485,10.0,139.0,251.67017130988947,339.9513182796127,41888884.45184503
9,169.58104010772948,-166.7849338072365,-32.81506601969208,5.0,5.0,121.2713463185753,181.35792773396676,14943084.906881303,22346968.141555194,137.0,137.0,192.9665665030295,243.60593979404956,30017183.38807227,140.0,140.0,267.3807818149208,360.29578957345717,44395735.172632
10,169.55751398179288,-166.74919081482741,-32.82223467143326,142.0,142.0,185.32201028208726,187.85028143643643,22835423.3611323,23146957.550155085,8.0,8.0,251.67017130988947,379.6286663954355,46777936.97557224,1.0,1.0,326.85237920280497,455.2753160062103,56099135.61292722
11,169.56076655020607,-166.75413387379965,-32.8213659441967,1.0,1.0,140.60126781809166,199.63312716384755,17324922.55426611,24598842.67796469,8.0,4.0,166.22913427097242,221.85812119872554,27337411.870110642,4.0,8.0,167.1396614823297,240.9519765718411,29690161.39175485
12,169.56356286604944,-166.7583831712936,-32.820265036620626,148.0,148.0,105.68154622823997,142.33697072277,13022105.93284394,17538796.290025536,162.0,162.0,218.27229945257085,330.07017481512503,40671327.541253544,4.0,4.0,218.80639822327933,330.9929834759715,40785036.24978565
13,169.57673401096204,-166.7783934410926,-32.81615477293176,170.0,170.0,157.19693269033644,226.77001012538196,19369844.432354603,27942656.02309779,2.0,146.0,204.666673786512,245.3396199435653,30230807.879446626,146.0,2.0,216.42812997898415,294.69832592455157,36312799.68343052
14,169.5877759589324,-166.79516298006533,-32.812532308790274,122.0,122.0,159.91092801869053,179.59468742800078,19704263.59945065,22129701.24048469,7.0,7.0,189.70678016437395,282.5452750398224,34815297.785735,136.0,136.0,387.21921743487434,508.61408842021785,62671552.17468884
15,169.55926371602212,-166.75185001474358,-32.787138713178344,20.0,24.0,404.3959556349506,472.31074048774184,49829768.40364202,58198244.777457856,24.0,20.0,441.2004027919333,608.3915434552052,74966154.54896769,19.0,19.0,517.8021030293174,645.9510651945542,79594247.98942928
16,169.55517209297915,-166.74563146094954,-32.78486651513933,15.0,21.0,576.6952685795484,599.6696800724831,71060531.81880887,73891444.4131384,21.0,19.0,599.461322201764,718.8857964629791,88581283.38641083,19.0,15.0,693.0914817661355,815.8007971642976,100523173.43870622
17,169.56155545080335,-166.75533272685843,-32.78010751013107,18.0,20.0,600.2592838507455,809.6036433213498,73964095.53467248,99759558.6288821,20.0,18.0,798.869493239152,833.7938934782892,102740287.1602885,21.0,15.0,800.4722764096705,966.8440162349609,119134755.77615637
18,169.55745139468326,-166.74909569406753,-32.777483087846676,21.0,21.0,428.0526087108685,544.9527293129106,52744746.97242475,67149208.37909599,17.0,17.0,600.2592838507455,833.7938934782892,102740287.1602885,16.0,16.0,952.1522149671846,1004.9508748299883,123830292.19763
19,169.55652525247652,-166.7476881098982,-32.79032614333514,28.0,28.0,422.8653049274377,433.18791474025534,52105566.13353173,53377520.635367036,24.0,37.0,485.3028541211049,615.2546888096974,75811832.99547419,15.0,15.0,517.8021030293174,645.9510651945542,79594247.98942928
20,169.5624874214117,-166.75674896064544,-32.78652343995505,25.0,25.0,366.846512908606,424.5343741886794,45202916.901624024,52311229.255475484,15.0,15.0,404.3959556349506,608.3915434552052,74966154.54896769,31.0,24.0,489.254507201414,621.278619274463,76554103.17833892
21,169.55506002152768,-166.74546112140456,-32.78000284809909,18.0,18.0,428.0526087108685,544.9527293129106,52744746.97242475,67149208.37909599,16.0,16.0,599.461322201764,599.6696800724831,73891444.4131384,26.0,26.0,618.145387824389,915.3549070893627,112790255.17400132
22,169.56712074829633,-166.7637892467051,-32.784923525722064,31.0,31.0,268.52678926882896,285.61338355494695,33087936.545829512,35193350.86617655,35.0,35.0,416.0357224403428,420.66398573004255,51834319.044483915,20.0,25.0,603.9984833823593,777.0495682829154,95748237.5531978
23,169.56199870752894,-166.75600630994649,-32.79210388588843,33.0,30.0,205.4346855003115,276.42669365046396,25313712.112878576,34061364.69282893,30.0,33.0,212.66324048259258,305.19607661464386,37606335.08693163,24.0,24.0,272.7099476427628,348.54374731665536,42947645.655992836
24,169.5604592787008,-166.75366692106348,-32.790513799814335,23.0,30.0,272.7099476427628,346.43368981658085,33603386.34215993,42687643.85557426,30.0,23.0,344.06323394738774,348.54374731665536,42947645.655992836,15.0,15.0,441.2004027919333,472.31074048774184,58198244.777457856
25,169.56400298412666,-166.75905194555796,-32.78908596949417,44.0,44.0,310.3473234263237,343.3618020773879,38241072.976960674,42309125.09822014,20.0,20.0,366.846512908606,424.5343741886794,52311229.255475484,31.0,33.0,395.1370507869282,435.8272804478076,53702743.922363915
26,169.5502739943942,-166.73818622595516,-32.781506215940105,27.0,27.0,537.6975715456923,559.5235748260799,66255226.06736703,68944631.52131428,21.0,21.0,618.145387824389,915.3549070893627,112790255.17400132,16.0,16.0,731.9218245193637,1006.5150806683084,124023034.02299455
27,169.54917708643737,-166.736518751646,-32.78572981265546,26.0,26.0,537.6975715456923,559.5235748260799,66255226.06736703,68944631.52131428,34.0,34.0,690.4457180369449,711.195549082472,87633689.22628698,16.0,41.0,746.3260692923734,950.6953512143541,117144913.32894054
28,169.55585871285712,-166.74667505545676,-32.79369257597549,75.0,75.0,256.5692425721464,342.53294151312423,31614524.721925676,42206992.69709036,37.0,43.0,336.9791664994648,417.9787874751555,51503448.25981249,43.0,19.0,346.16493911656914,433.18791474025534,53377520.635367036
29,169.54399008009068,-166.72863295363845,-32.79118460817188,40.0,40.0,505.4171674893332,528.5343668142891,62277626.79692235,65126133.74278119,45.0,45.0,549.0792228309177,832.2017713993195,102544105.48893419,41.0,74.0,709.4901303875346,983.5798689365951,121196951.63281497
30,169.56074620905054,-166.75410296198976,-32.793291280568695,23.0,50.0,212.66324048259258,266.3407591550932,26204416.422951378,32818573.381403673,50.0,23.0,241.91315461406964,276.42669365046396,34061364.69282893,37.0,24.0,299.29995395534735,346.43368981658085,42687643.85557426
31,169.56643042003432,-166.76274036150903,-32.78699053917929,35.0,35.0,210.5708100883437,264.18058643181735,25946586.638817027,32552396.37094448,22.0,22.0,268.52678926882896,285.61338355494695,35193350.86617655,25.0,25.0,395.1370507869282,522.7101001688649,64408466.18449203
32,169.57240189900435,-166.77181272905392,-32.7816568972999,22.0,66.0,765.1710683439412,1005.6047259202312,94284565.89008139,123910859.88863502,66.0,22.0,923.3755471976876,1067.4538551013773,131531924.68940547,31.0,35.0,986.58023366407,1218.6163017760998,150158198.2813422
33,169.56359960548374,-166.75843899843287,-32.792569431634284,23.0,23.0,205.4346855003115,305.19607661464386,25313712.112878576,37606335.08693163,44.0,44.0,230.74710215229456,307.844780256958,37932708.99653012,30.0,25.0,362.6725161743682,435.8272804478076,53702743.922363915
34,169.55038591014085,-166.73835635265752,-32.79120121436878,41.0,41.0,307.7168124145656,344.60203390672183,37916940.76774179,42461946.7670855,49.0,49.0,577.3437104286718,591.6813684110781,72907122.69953737,75.0,27.0,668.8865989329552,711.195549082472,87633689.22628698
