cloudnum,RGAL_KPC,x,corr_x,y,nn_index,nn2_index,nn3_index,min_dist,min_dist2nd,min_dist3rd,mean_cloud_sep_nn,mean_cloud_sep_nn2,mean_cloud_sep_nn3,beam_sep_nn,beam_sep_nn2,beam_sep_nn3,MLUM_MSUN_nn,MLUM_MSUN_nn2,MLUM_MSUN_nn3,SIGV_KMS_nn,SIGV_KMS_nn2,SIGV_KMS_nn3,RAD_PC_nn,RAD_PC_nn2,RAD_PC_nn3,RAD_NODC_nn,RAD_NODC_nn2,RAD_NODC_nn3
1,1.151551630983895,170.01641194404732,0.0008565309906964477,18.35361719563272,2.0,3.0,6.0,251.48022307119905,258.826795125376,259.1045185991083,5.134595350136858,5.284593923575941,5.290264340276845,2.095668525593327,2.1568899593781348,2.1592043216592383,4797844.129233096,5519562.321153692,1962643.4503058156,8.2192240388192,5.732264138442825,7.400799993656397,26.465645906525598,79.68091835232546,40.70448011878313,157.90699796042006,162.68992255545461,125.79587304801964
2,1.1175956167860344,170.01710710466847,0.0015163271447389474,18.35390200118458,1.0,5.0,3.0,251.48022307119905,256.36789819439554,265.9780760790476,5.134595350136858,5.234389416064019,5.430605142604679,2.095668525593327,2.1363991516199645,2.216483967325398,6481793.532354748,2397669.130272548,5519562.321153692,6.112351050399417,5.731057488236414,5.732264138442825,100.67751632035443,32.15119865896405,79.68091835232546,204.60378993989508,127.42987923056585,162.68992255545461
3,1.3496184524306296,170.01701359491423,0.0014275805029370571,18.35314712912616,5.0,8.0,1.0,196.74335032217738,238.99999845386048,258.826795125376,4.017005708829008,4.879780468448498,5.284593923575941,1.6395279193514796,1.9916666537821723,2.1568899593781348,2397669.130272548,208153.87445305136,6481793.532354748,5.731057488236414,1.2269764970761439,6.112351050399417,32.15119865896405,,100.67751632035443,127.42987923056585,94.21310499039612,204.60378993989508
4,1.026128002979301,170.0157632351136,0.00024082047850075322,18.35405088234469,7.0,1.0,6.0,223.07856300880204,263.54425898476717,378.6973226316506,4.554704693481669,5.380912702448708,7.7320494158430755,1.858988025073352,2.196202158206395,3.155811021930424,99596.18026944243,6481793.532354748,1962643.4503058156,,6.112351050399417,7.400799993656397,,100.67751632035443,40.70448011878313,77.33554988116238,204.60378993989508,125.79587304801964
5,1.3789091868248855,170.01757698615816,0.0019623122089479786,18.3533207848376,8.0,3.0,2.0,46.567621798807224,196.74335032217738,256.36789819439554,0.9507940283932058,4.017005708829008,5.234389416064019,0.3880635149900605,1.6395279193514796,2.1363991516199645,208153.87445305136,5519562.321153692,4797844.129233096,1.2269764970761439,5.732264138442825,8.2192240388192,,79.68091835232546,26.465645906525598,94.21310499039612,162.68992255545461,157.90699796042006
6,1.3892695975552252,170.01599512380267,0.00046091554997904825,18.352991317753528,1.0,3.0,4.0,259.1045185991083,342.63935201822517,378.6973226316506,5.290264340276845,6.9958361025812685,7.7320494158430755,2.1592043216592383,2.8553279334852117,3.155811021930424,6481793.532354748,5519562.321153692,3563536.6518316916,6.112351050399417,5.732264138442825,6.875151428835553,100.67751632035443,79.68091835232546,48.45051252775294,204.60378993989508,162.68992255545461,139.26207191723742
7,0.8192431826436254,170.01562599097127,0.00011055770464453567,18.354674910798387,4.0,9.0,10.0,223.07856300880204,348.70557835061663,387.69094231877136,4.554704693481669,7.119693227959898,7.915676570545081,1.858988025073352,2.9058798195884745,3.230757852656432,3563536.6518316916,1060688.7957980481,1034478.183025278,6.875151428835553,3.2530691949467094,6.281216260720201,48.45051252775294,52.13692293018046,,139.26207191723742,133.05737993548763,102.3884548194616
8,1.4135921420655926,170.01771524087073,0.002093534567568407,18.35329866447832,5.0,3.0,2.0,46.567621798807224,238.99999845386048,292.1899716002221,0.9507940283932058,4.879780468448498,5.965786300063696,0.3880635149900605,1.9916666537821723,2.434916430001853,2397669.130272548,5519562.321153692,4797844.129233096,5.731057488236414,5.732264138442825,8.2192240388192,32.15119865896405,79.68091835232546,26.465645906525598,127.42987923056585,162.68992255545461,157.90699796042006
9,0.5833175886948683,170.01645878031462,0.0009009760706109704,18.355281709534054,10.0,11.0,13.0,40.247836844027745,152.39704241063762,234.0898280597852,0.8217598719637819,3.1115653381408417,4.779527105516413,0.3353986403668982,1.2699753534219815,1.9507485671648783,1034478.183025278,1309435.3770332069,1248820.6294112897,6.281216260720201,7.9355398768991785,2.970015900166675,,99.30350338523843,29.846420262945575,102.3884548194616,208.8339737817564,114.82989179455049
10,0.5876199544447516,170.01657087713525,0.0010073693834029424,18.355325398088254,9.0,11.0,13.0,40.247836844027745,112.22216532388346,197.7560593424172,0.8217598719637819,2.291295121410656,4.0376826867752715,0.3353986403668982,0.9351847110323628,1.647967161186811,1060688.7957980481,1309435.3770332069,1248820.6294112897,3.2530691949467094,7.9355398768991785,2.970015900166675,52.13692293018046,99.30350338523843,29.846420262945575,133.05737993548763,208.8339737817564,114.82989179455049
