cloudnum,RGAL_KPC,x,corr_x,y,nn_index,nn2_index,nn3_index,min_dist,min_dist2nd,min_dist3rd,mean_cloud_sep_nn,mean_cloud_sep_nn2,mean_cloud_sep_nn3,beam_sep_nn,beam_sep_nn2,beam_sep_nn3
1,5.384919581014111,192.74478906136153,-0.0072001710381454885,-6.385611623750735,2.0,4.0,5.0,57.1334557138643,116.01821735242915,195.26070289743384,0.822751066233817,1.6707218360344065,2.8118542716372725,0.5771056132713575,1.171901185378074,1.9723303322973147
2,5.307322505040006,192.7450285926152,-0.006962124994708713,-6.38567562226257,1.0,5.0,4.0,57.1334557138643,141.82557902670615,169.86938276918315,0.822751066233817,2.042361080832278,2.4462062384913796,0.5771056132713575,1.4325816063303674,1.7158523512038728
3,6.15750612402195,192.74838641300065,-0.0036251587818505477,-6.382647586174118,5.0,2.0,1.0,1033.652961736473,1044.407392712614,1076.3724271664837,14.885132813313337,15.040002135355955,15.500315026472396,10.440939007439136,10.549569623359753,10.872448759257429
4,5.60827501340721,192.74439670733258,-0.007590095508888744,-6.385297755937708,1.0,2.0,5.0,116.01821735242915,169.86938276918315,310.84453278596885,1.6707218360344065,2.4462062384913796,4.476320705392716,1.171901185378074,1.7158523512038728,3.1398437655148417
5,5.0325265923025615,192.74550343251704,-0.006490226177119922,-6.386065148688986,2.0,1.0,4.0,141.82557902670615,195.26070289743384,310.84453278596885,2.042361080832278,2.8118542716372725,4.476320705392716,1.4325816063303674,1.9723303322973147,3.1398437655148417
6,0.5046956720654266,192.7563074004479,0.004246642598829252,-6.39335820790993,8.0,11.0,9.0,103.13117839818173,371.59034116780373,596.80566527415,1.4851418652847839,5.351091502833937,8.594307683712108,1.0417290747291101,3.753437789573781,6.028340053274252
7,3.2932591878830855,192.7588927531397,0.006815852206588283,-6.398183763870332,10.0,9.0,8.0,68.49694392058461,672.7935040659587,1186.9484934939687,0.9863911247844114,9.688571536748968,17.092667096448846,0.6918883224301488,6.79589398046424,11.98937872216132
8,0.6731473774437787,192.75671491046413,0.004651616565743727,-6.393542543553219,6.0,11.0,9.0,103.13117839818173,459.71391125807185,514.1832702374733,1.4851418652847839,6.620116111028685,7.4045028178614745,1.0417290747291101,4.643574861192652,5.193770406439132
9,1.788817283475501,192.7576742876674,0.005605004938321567,-6.395545643467405,8.0,6.0,7.0,514.1832702374733,596.80566527415,672.7935040659587,7.4045028178614745,8.594307683712108,9.688571536748968,5.193770406439132,6.028340053274252,6.79589398046424
10,3.354184275211661,192.75918933253692,0.0071105840435385734,-6.398205415370287,7.0,9.0,8.0,68.49694392058461,708.3953855250708,1221.8308036833196,0.9863911247844114,10.201256890092761,17.59499025443739,0.6918883224301488,7.155508944697695,12.34172528973052
11,0.4102741620529277,192.755493110857,0.0034374265127373347,-6.391974215604669,6.0,8.0,9.0,371.59034116780373,459.71391125807185,968.3148998722173,5.351091502833937,6.620116111028685,13.944231210341991,3.753437789573781,4.643574861192652,9.780958584567868
