,Unnamed: 0,Unnamed: 0.1,cloudnum,RGAL_KPC,x,corr_x,y,nn_index,nn2_index,nn3_index,min_dist,min_dist2nd,min_dist3rd,mean_cloud_sep_nn,mean_cloud_sep_nn2,mean_cloud_sep_nn3,beam_sep_nn,beam_sep_nn2,beam_sep_nn3,clouds_r400pc,nn_dist,nn3_dist,nn5_dist,clouds_r100pc,clouds_r200pc,clouds_r600pc,clouds_r800pc,clouds_r1000pc,clouds_r1500pc
0,0,0,1,3.020617344379033,196.0494115675685,-0.0052114835016123,-5.561776905286845,2.0,3.0,5.0,2333.125383494288,2392.7813223062385,2904.2567815221564,36.14252116999754,37.06665325766007,44.98993622540152,15.554169223295258,15.951875482041595,19.361711876814383,0,2333.1253834942922,2904.2567815221537,2991.6114806801033,0,0,0,0,0,0
1,1,1,2,3.671622295329709,196.04534507074743,-0.0092589612359641,-5.553837158833586,3.0,1.0,5.0,99.1834173504082,2333.125383494288,2421.3086541680445,1.5364535428143251,36.14252116999754,37.508571083008434,0.6612227823360549,15.554169223295258,16.142057694453637,1,99.18341735040447,2421.30865416805,2464.741057312877,1,1,1,1,1,1
2,2,2,3,3.620356117185529,196.045517765578,-0.0090870822935258,-5.553499539175683,2.0,5.0,4.0,99.1834173504082,2359.7799374296715,2390.583438622873,1.5364535428143251,36.555427731600176,37.032605770063725,0.6612227823360549,15.73186624953115,15.937222924152492,1,99.18341735040447,2390.5834386228858,2400.722690426593,1,1,1,1,1,1
3,3,3,4,0.0459846083760573,196.05450658106045,-0.0001404583272152,-5.551672086314274,6.0,5.0,12.0,34.03001125866159,55.75810666220158,79.34617947578708,0.5271600107874967,0.8637506431049189,1.2291542459527145,0.2268667417244106,0.3717207110813439,0.5289745298385807,19,34.03001125866185,79.3461794757778,255.2946743742087,3,3,24,24,24,24
4,4,4,5,0.1000794497001743,196.0544245223358,-0.0002221320694116,-5.551868784049618,4.0,6.0,12.0,55.75810666220158,88.84370162988876,134.9970723967901,0.8637506431049189,1.376280670424184,2.091244037507006,0.3717207110813439,0.5922913441992586,0.8999804826452676,18,55.758106662201584,134.99707239678142,296.7355576906717,2,3,24,24,24,24
5,5,5,6,0.0348408839354075,196.05451887399047,-0.0001282230871082,-5.551542678366931,4.0,12.0,5.0,34.03001125866159,49.38855696630977,88.84370162988876,0.5271600107874967,0.765079741679837,1.376280670424184,0.2268667417244106,0.3292570464420652,0.5922913441992586,24,34.03001125866185,88.84370162988957,222.79341397595766,3,3,24,24,24,24
6,6,6,7,0.3999800913138383,196.0555382940673,0.0008864153399779,-5.55163251461687,8.0,9.0,10.0,57.14921852112843,73.10195967778853,85.35966170989299,0.8853004021392137,1.1324248340506071,1.322309294750849,0.3809947901408563,0.4873463978519237,0.5690644113992868,21,57.14921852113208,85.35966170989327,108.93256608083523,3,8,24,24,24,24
7,7,7,8,0.4810733760450842,196.0557495365456,0.0010966670781258,-5.551573808155329,10.0,9.0,7.0,41.12095491579658,44.56782999676646,57.14921852112843,0.6370060495200691,0.6904017034637552,0.8853004021392137,0.2741396994386439,0.2971188666451099,0.3809947901408563,19,41.12095491579576,57.14921852113208,81.95526016831845,5,9,24,24,24,24
8,8,8,9,0.4472630965308697,196.0557065070548,0.0010538397108468,-5.551409046792673,10.0,14.0,13.0,21.483194175342025,36.62594502344423,37.39391349006981,0.3327968594292086,0.5673737051364262,0.57927032962102,0.1432212945022802,0.2441729668229616,0.2492927566004654,21,21.48319417533153,37.39391349007305,71.02765302287798,7,11,24,24,24,24
9,9,9,10,0.4821611908559065,196.05578800243285,0.0011349528353031,-5.551421475178671,9.0,14.0,8.0,21.483194175342025,37.89398553918706,41.12095491579658,0.3327968594292086,0.5870169619921767,0.6370060495200691,0.1432212945022802,0.2526265702612471,0.2741396994386439,21,21.48319417533153,41.12095491579576,85.35966170989327,7,10,24,24,24,24
10,10,10,11,0.5380880268815889,196.05597302216228,0.0013191055093624,-5.551096060375809,16.0,15.0,14.0,63.76155512559341,69.88386434261578,73.47808334880291,0.9877323234584608,1.082573214587124,1.138251378066778,0.4250770341706229,0.465892428950772,0.4898538889920196,19,63.76155512559548,73.47808334880155,97.8888185642847,5,12,24,24,24,24
11,11,11,12,0.0366220418044893,196.05464570584203,-1.9861314622771466e-06,-5.5514024884914415,6.0,4.0,5.0,49.38855696630977,79.34617947578708,134.9970723967901,0.765079741679837,1.2291542459527145,2.091244037507006,0.3292570464420652,0.5289745298385807,0.8999804826452676,24,49.38855696629432,134.99707239678142,198.7026134423213,2,5,24,24,24,24
12,12,12,13,0.424202414373535,196.0556739224324,0.0010214081579067,-5.551269943194197,14.0,9.0,21.0,22.46875404361125,37.39391349006981,37.88111261131148,0.3480641993909693,0.57927032962102,0.5868175470479331,0.149791693624075,0.2492927566004654,0.2525407507420766,23,22.46875404362767,37.88111261131171,65.33439895701312,7,13,24,24,24,24
13,13,13,14,0.4599712451570719,196.0557596131624,0.001106696983268,-5.551279515545832,13.0,9.0,10.0,22.46875404361125,36.62594502344423,37.89398553918706,0.3480641993909693,0.5673737051364262,0.5870169619921767,0.149791693624075,0.2441729668229616,0.2526265702612471,21,22.46875404362767,37.893985539184534,65.92231385436862,7,12,24,24,24,24
14,14,14,15,0.4971652176978299,196.05588005701588,0.0012265768599722,-5.550845673374868,22.0,16.0,11.0,46.76566802029574,60.55490398093641,69.88386434261578,0.7244484837420887,0.9380579863223288,1.082573214587124,0.311771120135305,0.4036993598729095,0.465892428950772,20,46.7656680202926,69.88386434262232,121.04475713627531,3,12,24,24,24,24
15,15,15,16,0.4419465534954561,196.05573788548256,0.0010850716676992,-5.551028641178958,15.0,21.0,11.0,60.55490398093641,61.12570853719102,63.76155512559341,0.9380579863223288,0.9469003382611968,0.9877323234584608,0.4036993598729095,0.4075047235812736,0.4250770341706229,23,60.5549039809262,63.76155512559548,65.92231385436862,7,13,24,24,24,24
16,16,16,17,0.3025731075734042,196.0543252183269,-0.0003209708743403,-5.550713785629422,23.0,24.0,27.0,55.16191731599964,62.16549560319223,84.83609498185567,0.8545150545596694,0.9630077135060516,1.314198705544685,0.3677461154399977,0.414436637354615,0.5655739665457047,18,55.16191731599967,84.83609498185336,183.33054466351655,3,6,24,24,24,24
17,17,17,18,2.25558870124681,196.0578620355504,0.0031993009513904,-5.543552935636865,19.0,29.0,31.0,49.23045971214415,1803.179540409724,1879.5468190178287,0.7626306519755188,27.933112885240032,29.116120881001823,0.3282030647476278,12.02119693606483,12.53031212678553,1,49.23045971214318,1879.5468190178274,1961.32353988186,1,1,1,1,1,1
18,18,18,19,2.279160995282713,196.05773804091203,0.0030758869684632,-5.543411053726073,18.0,29.0,31.0,49.23045971214415,1770.1762568151285,1901.536470575924,0.7626306519755188,27.42185794607743,29.456763288213143,0.3282030647476278,11.801175045434194,12.676909803839498,1,49.23045971214318,1901.5364705759232,1988.2607190836911,1,1,1,1,1,1
19,19,19,20,0.1922815623899429,196.05499239973588,0.0003430819737541,-5.550936076936427,26.0,25.0,30.0,98.59707293817308,115.16053035814686,138.40209517082965,1.5273704624612332,1.7839555198631518,2.1439913560033377,0.6573138195878209,0.7677368690543127,0.922680634472198,24,98.59707293818252,138.4020951708218,152.88698972992066,1,11,24,24,24,24
20,20,20,21,0.3739435926185331,196.0555596722292,0.0009076939219722,-5.551180468219738,13.0,14.0,16.0,37.88111261131148,58.195236995422334,61.12570853719102,0.5868175470479331,0.9015043083325254,0.9469003382611968,0.2525407507420766,0.387968246636149,0.4075047235812736,24,37.88111261131171,61.12570853720076,86.72278808478003,5,13,24,24,24,24
21,21,21,22,0.4458040676577352,196.0557357316169,0.0010829284338411,-5.550739492342566,15.0,16.0,25.0,46.76566802029574,75.70106780906258,103.65886229357304,0.7244484837420887,1.17268770261406,1.6057828059340116,0.311771120135305,0.5046737853937507,0.6910590819571539,22,46.7656680202926,103.65886229356526,111.96948126144731,2,11,24,24,24,24
22,22,22,23,0.3607027617906944,196.05432643739204,-0.0003197576397438,-5.550503086118902,24.0,17.0,27.0,18.45868514270259,55.16191731599964,67.16955219804483,0.2859440916721228,0.8545150545596694,1.0405257169081903,0.1230579009513506,0.3677461154399977,0.4477970146536323,16,18.458685142707875,67.16955219803764,204.5669326274922,4,4,24,24,24,24
23,23,23,24,0.3483446945206052,196.0543953674348,-0.0002511507941951,-5.550486827721669,23.0,27.0,17.0,18.45868514270259,49.73894316810542,62.16549560319223,0.2859440916721228,0.7705075857235669,0.9630077135060516,0.1230579009513506,0.3315929544540362,0.414436637354615,18,18.458685142707875,62.16549560319509,186.63335014414014,4,6,24,24,24,24
24,24,24,25,0.3227192107862207,196.05534413894128,0.0006931720457381,-5.550669746163539,26.0,28.0,22.0,27.258044658745668,93.5240226366403,103.65886229357304,0.4222552560188481,1.448783675305797,1.6057828059340116,0.1817202977249712,0.6234934842442689,0.6910590819571539,24,27.258044658745195,103.65886229356526,139.12142281895441,2,12,24,24,24,24
25,25,25,26,0.3070053383659168,196.0553336370744,0.0006827193016227,-5.550773338203729,25.0,20.0,22.0,27.258044658745668,98.59707293817308,105.14852019707462,0.4222552560188481,1.5273704624612332,1.6288591449487302,0.1817202977249712,0.6573138195878209,0.7009901346471644,24,27.258044658745195,105.14852019706203,121.77708478066053,2,13,24,24,24,24
26,26,26,27,0.3022062305767944,196.05458383893577,-6.356296568963722e-05,-5.550516936500911,30.0,24.0,23.0,33.393279429860584,49.73894316810542,67.16955219804483,0.5172963773261929,0.7705075857235669,1.0405257169081903,0.2226218628657373,0.3315929544540362,0.4477970146536323,23,33.393279429860584,67.16955219803764,149.80220382892605,4,6,24,24,24,24
27,27,27,28,0.3818253303909906,196.055345169797,0.0006941984884326,-5.550312512186167,31.0,25.0,26.0,91.91891756656842,93.5240226366403,120.6813938249872,1.4239189404803336,1.448783675305797,1.8694793953216144,0.6127927837771231,0.6234934842442689,0.8045426254999151,22,91.91891756655592,120.68139382498688,172.11706888535855,2,7,24,24,24,24
