cloudnum,x,corr_x,y,nn_index,nn2_index,nn3_index,min_dist,min_dist2nd,min_dist3rd,mean_cloud_sep_nn,mean_cloud_sep_nn2,mean_cloud_sep_nn3,beam_sep_nn,beam_sep_nn2,beam_sep_nn3
1,259.25197587449185,0.0019890458456344948,-62.82045133046513,7.0,159.0,233.0,305.0307399396347,321.77548328037255,323.968524468487,2.829597147356432,2.9849286329619287,3.0052722320731258,3.389230443773725,3.575283147559701,3.599650271872084
2,259.257084454549,0.0043223738476527735,-62.8216177575356,12.0,13.0,6.0,203.52028400185137,343.51012475282187,396.4351592075558,1.8879422288874088,3.1865485730421588,3.6775040962346495,2.2613364889094636,3.8167791639202497,4.404835102306183
3,259.2981433481832,0.02307235235524782,-62.826942445290925,21.0,9.0,10.0,388.7505276613093,422.28249616608804,509.6951047660177,3.6062181284464607,3.9172751794346485,4.728152365079263,4.319450307347889,4.6920277351787645,5.663278941844651
4,259.249786755367,0.000989037438877731,-62.82228470982646,39.0,69.0,184.0,203.50578733468626,277.7717087073998,303.16368912560864,1.8878077515292755,2.576730577155356,2.812277576029348,2.261175414829851,3.086352318971114,3.3684854347289908
5,259.28190014262964,0.015655694718538293,-62.82453062759311,34.0,38.0,20.0,351.72906187054815,447.43358567880495,471.8795763560575,3.262790990534975,4.150587570022476,4.377359158677262,3.908100687450542,4.971484285320064,5.243106403956204
6,259.2561727747624,0.003905698388623098,-62.823534480545476,48.0,65.0,2.0,248.68820986412797,350.48732330204894,396.4351592075558,2.3069394558462313,3.251272086204601,3.6775040962346495,2.7632023318236487,3.894303592244995,4.404835102306183
7,259.2486920253906,0.0004890450797072084,-62.8206180534282,159.0,178.0,275.0,16.842427171719287,33.68485434667702,69.4429271714364,0.1562376430948785,0.31247528621979825,0.6441826442386205,0.18713807968577018,0.3742761594075231,0.771588079682628
8,259.2965084940653,0.022322331442352593,-62.83144301936932,24.0,36.0,15.0,336.72956560960756,512.3971065042352,513.2062668315759,3.123649172106641,4.753217302508603,4.760723423873455,3.741439617884535,5.6933011833804015,5.702291853684187
9,259.29997150565293,0.023905677236335587,-62.828858449688724,3.0,16.0,8.0,422.28249616608804,595.533724947944,612.593539124068,3.9172751794346485,5.524428553006612,5.6826827720297315,4.6920277351787645,6.617041388310501,6.806594879156323
10,259.2926685449138,0.020572353015358348,-62.826610955354774,28.0,18.0,29.0,191.99929181957515,242.98206970307132,420.923617057506,1.7810685196339218,2.2540068303497414,3.9046696287612743,2.13332546466195,2.699800774478575,4.676929078416742
11,259.26164538737584,0.006405708753022823,-62.821284053901444,25.0,12.0,55.0,101.05456875335577,236.39141568500355,238.17998164874138,0.9374259116586672,2.1928690715375367,2.20946058342861,1.122828541703955,2.6265712853889327,2.6464442405415753
