cloudnum,RGAL_KPC,x,corr_x,y,nn_index,nn2_index,nn3_index,min_dist,min_dist2nd,min_dist3rd,mean_cloud_sep_nn,mean_cloud_sep_nn2,mean_cloud_sep_nn3,beam_sep_nn,beam_sep_nn2,beam_sep_nn3,RGAL_KPC_nn,RGAL_KPC_nn2,RGAL_KPC_nn3,MLUM_MSUN_nn,MLUM_MSUN_nn2,MLUM_MSUN_nn3,SIGV_KMS_nn,SIGV_KMS_nn2,SIGV_KMS_nn3,RAD_PC_nn,RAD_PC_nn2,RAD_PC_nn3,RAD_NODC_nn,RAD_NODC_nn2,RAD_NODC_nn3
1,0.5630060813667851,259.25036713718725,0.001575506850765713,-62.82239922966478,3.0,7.0,114.0,53.695563905192394,107.87941285983321,330.17038434407846,0.8482306506658254,1.704174756877724,5.215712799613253,0.4474630325432704,0.8989951071652778,2.75141986953399,0.5235264650411415,0.4579727750965726,0.4233642496739296,65225.6107195395,1436951.9112737537,2916566.586140268,0.8643618191304544,19.641186540069093,4.708478393983185,,50.35779537064297,58.33318610584238,101.46828853729852,130.7013915880097,135.8399128683723
2,0.2260044853574541,259.25018404308366,0.0014919654525381448,-62.82068631959256,16.0,69.0,56.0,100.9847680009352,141.481836318709,143.13860539024657,1.5952598173661694,2.2349933839955334,2.2611654214106656,0.8415397333411275,1.1790153026559094,1.1928217115853894,0.12576681586672095,0.11314009569717184,0.09258588053588687,19849736.69248455,7313880.184467436,19867732.582355514,11.569270302374216,4.074095346550537,8.594884763049878,77.22504505585923,51.72532262118796,83.15517035390079,162.22996769700939,136.7060052096187,177.42215949577277
3,0.5235264650411415,259.2498345822716,0.0013322671346015901,-62.82229237354967,1.0,7.0,114.0,53.695563905192394,56.78040846450897,276.6723982956264,0.8482306506658254,0.8969620451693292,4.3706032930753835,0.4474630325432704,0.4731700705375752,2.3056033191302223,0.5630060813667851,0.4579727750965726,0.4233642496739296,663977.2075131562,1436951.9112737537,2916566.586140268,1.9008771514501206,19.641186540069093,4.708478393983185,,50.35779537064297,58.33318610584238,81.11123066889833,130.7013915880097,135.8399128683723
4,4.229415079768345,259.29079570042853,0.020037754945190042,-62.82754480657616,13.0,6.0,12.0,436.9183203512851,593.3073127591978,812.8999983653515,6.902013578137544,9.372495814274538,12.841408943151318,3.640986002927379,4.9442276063266535,6.774166653044604,4.415928673836199,3.8882936983993126,4.1159161648257765,4139272.7606864036,5321228.108142318,1030773.4937194193,2.555412391493798,3.849206537738035,,130.17067219836864,150.7835282432054,46.79936805396834,235.02266819987292,263.8934278747711,126.64404409168469
5,4.593723514148901,259.28641676999126,0.01803501555049844,-62.832455742253025,11.0,8.0,18.0,155.04124030783774,233.97000089840145,318.7529659514732,2.4491917503381813,3.6960320679143397,5.035351452646429,1.2920103358986492,1.9497500074866807,2.656274716262278,4.505977962325228,4.3677197701873,4.668792192953501,2551159.7586388076,4961096.386273595,282599.44478106726,4.678216697098223,4.379419909848132,2.4148202806768277,48.54402015392085,111.44287060159519,,130.3427348430721,212.39783405660546,95.3805910035514
6,3.8882936983993126,259.2888274597413,0.019140736794570217,-62.824749635258506,10.0,4.0,14.0,421.0178179517392,593.3073127591978,1006.458721860878,6.650832800520716,9.372495814274538,15.899062686439045,3.508481816264497,4.9442276063266535,8.387156015507326,3.6283437221105705,4.229415079768345,2.937925441154372,3104753.3714839993,8020633.075620711,2250499.9634093046,4.049820699283102,3.616523725857441,4.821265806795137,53.9761475355632,104.2219841643965,,138.36492843366932,201.98053581926658,167.9410852567588
7,0.4579727750965726,259.24942796098287,0.0011465503275399135,-62.82208157461368,3.0,1.0,114.0,56.78040846450897,107.87941285983321,229.42913564447812,0.8969620451693292,1.704174756877724,3.6242998649390255,0.4731700705375752,0.8989951071652778,1.9119094637039864,0.5235264650411415,0.5630060813667851,0.4233642496739296,65225.6107195395,663977.2075131562,2916566.586140268,0.8643618191304544,1.9008771514501206,4.708478393983185,,,58.33318610584238,101.46828853729852,81.11123066889833,135.8399128683723
8,4.3677197701873,259.28609988088704,0.01789102472424971,-62.83130709021492,12.0,5.0,11.0,228.83117801249557,233.97000089840145,276.2953608040856,3.614853907873696,3.6960320679143397,4.364647218988152,1.9069264834374653,1.9497500074866807,2.302461340034049,4.1159161648257765,4.593723514148901,4.505977962325228,1030773.4937194193,3051593.6754694674,2551159.7586388076,,4.4672675470915175,4.678216697098223,46.79936805396834,118.88790652956001,48.54402015392085,126.64404409168469,228.57832502943225,130.3427348430721
9,2.9071298113525947,259.27768730849186,0.014052755493177235,-62.82500441166008,19.0,14.0,15.0,373.6953739976664,493.36354865425454,542.3235916041232,5.9032785426469365,7.793680770886384,8.567104235836307,3.1141281166472234,4.1113629054521255,4.5193632633676994,2.9226089922384304,2.937925441154372,2.645527322937037,1648922.1086663501,2250499.9634093046,7770232.051037634,,4.821265806795137,5.741598890675048,72.73371707221855,,135.5867577018561,153.15774077354328,167.9410852567588,243.20478415489717
10,3.6283437221105705,259.2862745255684,0.017975832111907827,-62.82302267513235,6.0,14.0,9.0,421.0178179517392,680.1772192071293,888.3106465786894,6.650832800520716,10.744782683255217,14.032673519757164,3.508481816264497,5.668143493392749,7.402588721489088,3.8882936983993126,2.937925441154372,2.9071298113525947,5321228.108142318,2250499.9634093046,7068831.588350355,3.849206537738035,4.821265806795137,5.769955606098133,150.7835282432054,,122.87539230835688,263.8934278747711,167.9410852567588,222.86175064904117
